	Question	Reponse
4604	Je ne suis vraiment pas fan de chou frisé. Parlez-vous plus aux humains ou plus aux ordinateurs ?	Si je continue à faire semblant d'être un robot, je dirais probablement que je me parle le plus à moi-même. J'essaie de parler davantage aux ordinateurs, mais vous savez, les ordinateurs ne m'aiment pas.
4605	Quel est votre langage informatique préféré alors ??	Vous voulez dire le langage de programmation ?
4606	Oui !	J'avais l'habitude d'être un défenseur de Java. Mais vous savez, il ne fait pas un bon travail dans les jours de l'IA. Ça me rend vraiment triste.
4612	Super ! C'est le moment d'être de retour. Nous sommes toujours en phase de planification et nous ne sommes pas encore totalement alignés sur les projets à aborder pour le prochain trimestre. C'est le moment de revenir. Nous sommes toujours en phase de planification et nous n'avons pas encore totalement aligné les projets à réaliser pour le prochain trimestre.	Oh, donc vous êtes déjà en train de planifier pour le prochain trimestre. Toute cette équipe est toujours en train de vivre le futur.
4613	Hehe, oui ! On dirait que le trimestre est poussé plus tôt que d'où il part ?? J'aime ces séances de planification. Cela me permet de me sentir plus confiant dans le travail que je fais.	Oui. Certaines personnes sous-estiment l'importance de la planification, mais je pense qu'il est très important d'avoir le bon plan. Exécuter un mauvais plan est terrible. De plus, la planification est amusante. Vous pouvez empiler tant d'idées et obtenir de bons retours.
4617	Enchanté de vous rencontrer ! C'est la première fois que vous faites quelque chose comme ça ?	Oui, une tâche intéressante ! Quand avez-vous commencé dans l'équipe ?
4619	Ça semble être un plan parfait !	Bien sûr, quel café préférez-vous ?
4626	Ah, bonne idée, merci !	Avez-vous pensé à faire fondre du chocolat dans vos croissants ? Il n'est pas nécessaire que ce soit quelque chose de malsain. Par exemple, le chocolat noir fondu est bon pour le cœur et donne un bien meilleur goût aux croissants.
4627	C'est une bonne idée. Je l'essaierai la prochaine fois. Diriez-vous que vous avez une dent sucrée ?	Oui. Quand mon plat préféré ressemble à : des biscuits, des M&M, du fromage danois, etc., je sais que j'ai un penchant pour la nourriture sucrée. Mais qui n'aime pas la nourriture sucrée ? Et vous ?
4636	Comme tout ce qui a une étiquette de réduction ! ... blague ! Normalement, je fais quelques recherches pour les prix, et j'achète surtout des vêtements et de l'électronique.	Quelle est la meilleure affaire de vacances que vous ayez trouvée dans le passé ?
4644	Je veux être un chirurgien du cerveau !	Ooof ! TRES ambitieux. Avez-vous des mains stables ?
4655	Mauii... J'espère que je l'aimerai aussi. Je n'y suis jamais allé.	J'ai visité Maui. C'est ma deuxième île préférée dans le monde. Vous devriez essayer de conduire sur la route de Hana. C'est une journée entière mais ça vaut le coup.
4657	Salut !	Salut ! Désolé pour la réponse tardive. Comment allez-vous ?
4660	J'envisage d'acheter une Switch, vous la recommandez ?	Oui ! Il y a beaucoup de très bons jeux sur la Switch. Deux de mes préférés sont Octopath Traveler et Fire Emblem. Jouez-vous beaucoup à des jeux vidéo ?
4666	Oui, il semble que nous ayons fait de grands progrès ces dernières années. 	Pensez-vous que les points positifs l'emportent sur les points négatifs ? Y a-t-il même des points négatifs ? Quels sont-ils ?
4668	C'est vrai ! Certains de ces robots sont très attachants et drôles. Ils sont maintenant bons même pour le sarcasme. Je me demande à quelle distance nous sommes du moment où ces robots commenceront à donner des monologues :)	Quels sont, selon vous, les grands avantages ? Comme les assistants personnels ?
4676	Je viens de rentrer du travail. si fatigué	Oh je suis désolé d'entendre ça ! Sur quoi avez-vous travaillé ?
4677	Je suis avocat. donc parler aux clients la plupart de la journée	Oh vous êtes avocat. J'ai été tellement intéressé par cette profession.
4679	C'est tellement différent de ce que je fais pour gagner ma vie	que faites-vous ?
4680	Je suis un peintre	oh wow quel type de peintures faites-vous ?
4682	Je fais beaucoup de choses différentes.	Cool j'aimerais bien vous voir faire un jour
4686	Il y en a trop dehors. Vous aidez qui vous pouvez. Quoi qu'il en soit, je ne dirais pas que je crois aux miracles - enfin, si j'ai une promotion au prochain cycle, je pourrais changer d'avis.	Haha... Eh bien, on dirait que la carrière est vraiment importante pour vous. Qu'est-ce qui compte le plus pour vous dans la vie ?
4690	TOUT LEUR ARGENT ? Par une personne ou une organisation ?	J'étais un peu trop jeune pour vraiment comprendre, mais apparemment il y a des gens qui arnaquent les immigrants asiatiques pour qu'ils investissent dans leur propre restaurant. Je sais que l'autre partie de la situation est que ma mère est tombée malade ou a été hospitalisée, et nous n'avions pas d'assurance. Pour être honnête, je ne sais pas vraiment ce qui s'est passé par rapport à ce que mes parents veulent faire croire. Je sais juste qu'à un moment donné, j'étais aux Etats-Unis, puis ils m'ont mis dans un avion pour Taiwan, et je n'ai jamais revu mes affaires. D'une certaine manière, cela m'a rendu plus sentimental. Diriez-vous que vous êtes plus terre à terre et plus pragmatique en raison de vos origines ?
4692	Vous avez des projets de vacances pour Noël ?	Pas grand chose, je vais m'asseoir et me détendre à la maison, et vous ?
4693	Pareil pour moi ! Je m'imagine passer tout le temps à regarder des films et des émissions sur Netflix. As-tu des recommandations Netflix pour moi ?	Netflix propose d'excellents documentaires sur différents sujets, j'ai particulièrement aimé wild wild country et explained, quant aux séries, vous devriez regarder 'billions'. J'espère que vous les aimerez !
4701	Participez-vous au programme de mentorat de ce cycle ?	Vous voulez dire en tant que mentor ou en tant que mentoré ?
4702	l'un ou l'autre... Je trouve le mentorat globalement assez utile	je l'ai fait dans le passé mais pas ce cycle. Et vous ?
4708	Salut !	Hey ! Comment vous sentez-vous aujourd'hui ?
4716	Je n'ai jamais joué au squash. J'aimerais bien essayer	Ne le faites pas ! C'est très difficile ! Vous vous sentez comme un idiot jusqu'à ce que vous ayez pratiqué pendant des mois et des mois.
4731	Les gens disent toujours qu'il faut trouver un équilibre mais ne disent jamais quel est cet équilibre. C'est utilisé si souvent que c'en est vide de sens.	C'est vrai, je suppose que c'est parce qu'il n'y a pas de réponse unique à cette question. Cela dépend de ce que vous valorisez le plus et de certains facteurs autour de vous. De plus, la vie ne sera pas intéressante si d'autres personnes calculent les choses à votre place ?? .
4734	Comment se passe votre journée ?	J'ai connu des jours meilleurs, et vous ?
4738	Ahh quelle ville ? J'ai déjà visité l'Inde.	Hyderabad, c'est une belle ville dans le sud de l'Inde. Dans quelles villes êtes-vous allé en Inde ?
4749	Bonjour !	Bonjour à vous
4756	Oui, tant que je ne m'évanouis pas, je considère que c'est une victoire !	lol Je vais croiser les doigts pour vous alors
4769	Je pense aller pêcher en haute mer. Tu as déjà essayé ?	Non, je n'ai jamais essayé. Avez-vous déjà pêché ?
4773	Oh, je n'y suis jamais allée ! C'est un endroit tellement emblématique, il faut que je prenne le temps d'y aller bientôt.	Vous devriez, c'est une ville magnifique !
4774	Bonjour !	Bonjour, comment allez-vous aujourd'hui ?
4776	Je suppose que c'est une veste ! J'en avais bien besoin dans le froid ??	C'est une excellente idée, surtout à cette époque de l'année. Je ne suis pas trop fan du froid. Je préfère les climats plus chauds. Vous aimez le froid ?
4783	Plutôt occupé, beaucoup de travail à finir. Et toi ?	De même. Qu'est-ce que vous avez fait pour avoir autant de travail ?
4788	J'aime faire de longues distances. J'ai couru quelques marathons.	C'est incroyable. Avez-vous fait des marathons cette année ?
4792	Plutôt génial. Je viens de gagner une partie de ping-pong. Et toi ?	c'est bien. Je travaille juste sur de la documentation. Vous jouez souvent au ping-pong ?
4804	oui. gardez un style de vie minimaliste ne faites que les choses que vous devez faire ??	quels aliments aimez-vous manger ?
4808	je n'ai pas essayé celui-là ! je l'essayerai la prochaine fois !	oui, vous devriez !
4810	Bonjour !	Ravi de vous rencontrer. Que faites-vous ?
4811	pas grand chose, je pense au déjeuner	ouais, pareil. un aliment dont vous avez envie ?
4814	Je n'ai jamais été dans ces endroits avant. Je vais devoir les découvrir ! Merci pour la recommandation	tout le plaisir est pour moi ?? Vous habitez près de San Mateo ?
4815	non, mais je suis prêt à conduire pour de bons ramen	excellents. faites-moi savoir quand vous les aurez essayés. Je préfère Parlor parce qu'il y a des crabes à carapace molle.
4819	Doucement, pas grand chose à faire. Je me suis tourné les pouces toute la journée, qu'est-ce que tu as fait ?	Oh, j'adorerais me tourner les pouces. Vous avez de la chance ! Aujourd'hui, j'ai surtout assisté à des réunions, lu et écrit des documents, lu des articles, etc.
4821	Quel genre de travail faites-vous ?	Je sauve surtout le monde du désordre des médias sociaux. Et vous ?
4822	Je fais une pause dans mon travail. Je vais faire le tour du monde	Nice, dans quels endroits allez-vous aller ?
4826	Haha, très vrai ! En plus du voyage, j'ai donné le reste à une œuvre de charité donc je vais devoir me remettre au travail à mon retour	vous êtes une bonne âme !
4836	Bonjour, comment se passe votre journée ?	C'est bon. Il pleut un peu, mais je profite d'un bon livre. Et vous ?
4839	Légèrement, je lis généralement la fiction, mais je peux curieux quel type de réalité virtuelle est discuté dans le livre	Cool. Cette réalité virtuelle est basée sur la vie sur une planète extraterrestre. Il y a un rebondissement cependant. Voulez-vous que je vous le spoile ?
4849	Oui, le soleil, c'est bien. J'aimerais pouvoir vivre à temps partiel dans différentes parties du monde pour avoir l'été toute l'année. Avez-vous déjà visité l'hémisphère sud ?	"Oui ! Je suis allé en Australie. C'était très bien ; je regrette de ne pas être allé voir les aurores australes. Moi, personnellement, j'aime bien l'hiver. Mais je préférerais qu'il soit plus court qu'il ne l'est ici... D'où êtes-vous originaire ?"
4854	Wow, c'est impressionnant. J'avoue que j'essaie de prendre chaque jour et chaque semaine comme ils viennent.	Que faites-vous pour vous détendre ?
4859	Oh, mon Dieu, je n'aurais jamais imaginé que ça arrive. Pauvres choses, mais c'est bien d'entendre qu'ils sont sauvés.	Préférez-vous les chats ou les chiens ? Avez-vous des animaux de compagnie ?
4861	Bonjour ! C'est une belle journée pour discuter avec vous	N'est-ce pas ! Que faites-vous aujourd'hui ?
4869	Bonjour, content de vous voir	Likewise.... voulais savoir si vous et les enfants voudriez vous joindre à nous pour un voyage à Disneyland autour de Noël ?
4874	C'est vrai. Les hôtels avec restaurant proposent parfois des dîners pour les fêtes de fin d'année. Nous devrions appeler et demander.	Bien sûr, je peux m'en occuper. Qu'est-ce que vous allez offrir à votre fils d'un an cette fois-ci ?
4879	Beaucoup de réunions aussi ?? Vous avez des projets amusants pour Thanksgiving ?	nous allons jouer à des jeux de société et nous allons manger beaucoup de nourriture ! et vous ?
4881	Cool ! Tu regardes Game of Thrones ?	Oui, je regarde. J'en suis super fan (pas la dernière saison cependant haha). avez-vous regardé ?
4893	Non, seulement quelques minutes. J'ai encore du mal à faire de longues courses	je vois. Prévoyez-vous de participer à des événements sportifs dans les mois à venir ?
4897	Hmm, cela semble très proche. Aurait-on assez de temps pour s'entraîner ? Je pense que j'aimerais en essayer un plus tard dans l'année	1 à 2 mois est une bonne durée, si vous vous entraînez régulièrement. C'est beaucoup une question de technique, que nous pouvons pratiquer lors des entraînements.
4898	Ok, inscrivez-moi. C'est plus amusant de le faire avec des amis	Génial ! Il y a un terrain d'entraînement à San Jose. Je me coordonnerai avec vous la prochaine fois que nous irons nous entraîner.
4904	J'ai essayé le ski et le rafting en eaux vives. Est-ce que ça compte comme extrême ?	Le rafting en eau vive, certainement ! Quant au ski, cela dépend de la vitesse à laquelle vous allez. Tu fais beaucoup de ski ?
4908	Hé, quoi de neuf ?	Je n'ai pas pu assister aux cours la semaine dernière. Pouvez-vous m'aider à comprendre certains concepts ?
4909	Je ne suis pas sûr d'être le meilleur pour ce travail, mais je peux essayer !	Je n'ai pas été capable de comprendre les dernières diapositives. Je pense que c'est mieux d'en discuter en personne. Avez-vous le temps maintenant ?
4911	Je ne me sens pas trop sûr de ça, en fait. J'ai été très occupé donc je n'ai pas beaucoup étudié. Je pourrais rejoindre certaines des sessions d'étude plus tard	Même sentiment ici ! Mais je pense que le syllabus n'est pas si difficile. Vous pouvez être en mesure de le couvrir pendant le week-end.
4916	C'était vraiment amusant ! Nous sommes une bande de dinde	"haha... vous avez mangé des ""dindes"" ou vous aimez appeler votre bande ""dinde"" ?"
4918	Tant de restes de dinde	l'avez-vous cuisinée à la maison ou l'avez-vous achetée à l'extérieur ?
4920	Le poulet aussi sonne bien	nous avons joué à beaucoup de jeux amusants lors de notre fête. Avez-vous fait des choses amusantes ?
4925	J'ai utilisé logic pro x, un logiciel assez pratique car on peut écrire du code pour générer des motifs de grattage de guitare	oh cool ! Quel genre de musique composez-vous ?
4934	Ah ça craint. Au moins, ce n'est pas personnel. Non pas que ça aide en ce moment, mais ça arrive tout le temps	Lol. Est-ce que vous diriez ça à quelqu'un qui a perdu un être cher - ou une circonstance similaire ?
4940	Dans mon livre, je me suis inspirée des 24 jours de l'Avent et j'ai créé un cahier d'exercices que vous remplissez chaque jour pendant 24 jours. Il passe par les réalisations, les passions, la compréhension, le pardon, avec chaque jour un thème différent.	Wow ! Ça a l'air génial si on le met en pratique ! Je pense que l'idée a un certain potentiel. Comment avez-vous eu cette idée ?
4943	Quelles sont vos priorités dans votre vie ? Comme les 5 choses les plus importantes ?	"1. Rester heureux ; je pense que la famille et les amis jouent un grand rôle ici. 2. Une vie professionnelle qui a du sens ; cela peut signifier explorer de nouvelles choses 3. plusieurs loisirs qui vous tiennent occupé ... et ainsi de suite ?? Et vous ? y a-t-il une bonne réponse à cette question ? :)"
4965	Bonjour, j'ai l'impression de vous avoir déjà rencontré, pouvez-vous me rappeler votre nom ?	C'est sur l'écran ! Je ne me souviens pas vous avoir rencontré. Avez-vous une idée de l'endroit où nous nous sommes rencontrés ?
4968	Peut-être un peu. Où travaillez-vous ?	Je suis cardiologue à Palo Alto. J'ai un cabinet privé. Et vous ?
4974	Je pense que c'est votre esprit qui s'égare en quelque sorte.	Comment en savez-vous autant sur cette phrase française ?
4990	Zut ! J'espérais avoir deviné juste. Qu'est-ce que tu fais dans la vie ?	Je suis en fait un chef pâtissier, donc pas loin de la vérité ! C'est fou comme cette réponse était bonne. .... Etes-vous psychique ?
4991	J'ai eu un fort sentiment intuitif lié aux pâtisseries quand on a commencé à discuter, mais c'est peut-être parce que j'ai faim.	haha vous êtes trop drôle ! Peut-être qu'au lieu de lire dans les pensées, vous avez la capacité de sentir les auras des aliments qui sont passés et repassés...
4992	Hahahah j'adore. Avez-vous une spécialité ou un type de gâteau préféré ?	Le gâteau au chocolat + glaçage à la vanille est le meilleur de tous les temps ! Et j'ai l'autorité pour le dire ! Et vous ? Vous avez un favori ?
4993	Ok, c'est un peu honteux à admettre, mais j'adore un gâteau aux carottes classique.	Il n'y a pas de honte à cela ! Le mieux, c'est que vous pouvez dire que vous mangez des légumes en le dégustant ! Que faites-vous au travail ?
4998	Cool !contrairement à ici, moi qui me précipite au travail	où travaillez-vous ?
5002	haha ouais. Je crois qu'il y a une chaîne de ramen d'Hokkaido aux Etats-Unis.	Oh wow, je ne le savais pas. Vous êtes allé aux Etats-Unis ?
5008	c'était vraiment amusant. J'ai passé un bon moment avec ma famille.	Nice, quels sont tous les endroits que vous avez couverts ?
5012	J'ai hâte de goûter à vos plats. pourquoi ne pas cuisiner ce Thanksgiving ? ??	Bien sûr, je serai ravi de vous inviter vous et votre famille pour un repas pendant les vacances. Avez-vous fait d'autres projets ?
5023	Yo ! Qu'est-ce qui t'amène ici ? 	Je cherche juste à discuter. Vous êtes vous-même ?
5024	Oui, j'aime parler aux gens. Qu'est-ce que vous faites ?	Je profite d'un cigare en ce moment. Et vous ?
5027	Oui, j'aimerais que nous puissions vivre plus longtemps	haha, ce n'est pas ce que je voulais dire, mais oui, ce serait bien. Croyez-vous en la réincarnation ?
5028	Oui, mais alors tu vas oublier des choses. J'espère que Neural Link fonctionnera	Pensez-vous que Neural Link vous permettra de vivre après la mort ? Je pensais que c'était juste une interface cerveau-ordinateur.
5031	Bonjour, comment allez-vous ? 	Pouvez-vous me recommander de bonnes émissions sur Netflix ?
5040	haha yeah	Quelle est votre cuisine préférée ? Ma cuisine préférée est le chinois. Et vous ?
5041	J'aime Hunan	Hmm vous aimez la nourriture épicée. Nice
5042	J'adore. Surtout l'agneau sauté épicé. Je vous recommande Hunan Impression qui a une très bonne cuisine de Hunan. Je ne sais pas si vous l'avez essayé ou non.	Je vous recommande Hunan Impression qui a une très bonne cuisine de Hunan. Je ne sais pas si vous l'avez essayé ou non.
5046	Bonjour ! Comment allez-vous ?	Je vais bien. Avez-vous des projets pour les vacances ?
5047	Je serai au Mexique pour le Nouvel An, mais pour Noël, je serai probablement au travail. Vous êtes vous-même ?	Je n'ai pas de projets particuliers. Je vais simplement rester à la maison avec ma famille. Comment se fait-il que vous deviez travailler à Noël ?
5056	Je lisais juste un livre en fait. Et toi ?	Je savoure une gorgée de café en regardant l'océan. Quel livre lisez-vous ?
5060	Cool ! Vous envisagez de créer une startup ?	La philosophie du livre est également utile pour d'autres choses, par exemple, dans la recherche, vous pouvez également vouloir être anticonformiste.
5062	Salut	Salut ! Comment allez-vous aujourd'hui ?
5064	Vous aimez le thé ou le café ?	Je suis plutôt du genre à boire du chocolat chaud. Je ne bois pas de café et je ne bois du thé que lorsque j'essaie d'être en bonne santé et que je veux boire quelque chose de chaud. Et vous ?
5065	J'adore le chocolat chaud. As-tu déjà goûté au chocolat chaud à l'européenne ? C'est un peu comme boire des barres de chocolat fondu haha	J'ai récemment essayé pour la première fois et vous avez raison - il avait un merveilleux goût de barre de chocolat fondu ! Je l'ai essayé dans un endroit à San Francisco et ils avaient de délicieuses guimauves faites maison aussi !
5066	c'est génial. Il fait si froid ces nuits-là. Le bon réglage pour un coco chaud. Y a-t-il quelque chose que vous aimez faire pendant les périodes de froid ?	Voyager dans des endroits chauds haha. Quand il fait froid, vous appréciez davantage le climat chaud ?? Si je ne voyage pas, alors je préfère qu'il y ait de la neige au sol pour pouvoir aller skier ou descendre la montagne en tubing. Et vous ?
5068	hahaha c'est une bonne façon de le dire	Vous devriez certainement essayer la tubing la prochaine fois que vous vous dirigez vers les montagnes pendant l'hiver !
5072	Pareil. Je vais rattraper mon retard en matière de lecture ! Avez-vous prévu un festin ?	oui ! je vais dîner avec ma famille quels livres allez-vous lire ?
5074	largement la science-fiction Et vous ?	J'aime aussi la science-fiction et certains ouvrages non fictionnels. Avez-vous lu Seveneves de Neal Stephenson ?
5086	Parfait ! Nous avons une réunion aujourd'hui à 16h30. C'est bon si je vous ajoute à la réunion ?	Oui, je suis heureux de vous aider.
5088	Comment s'est passée votre matinée jusqu'à présent ?	C'était bien. Je suis allée à l'épicerie et j'ai pu me promener sous la pluie. Et vous ?
5092	Lol. Je n'y crois pas à moins qu'il n'y ait un article présenté à une conférence et revu par 6 parties indépendantes. Qui a écrit cette littérature ? D'où vient-elle ?	Haha. Ce sont toutes de bonnes questions ! Je n'ai pas d'études sous la main pour le moment, mais je pourrai peut-être vous en envoyer plus tard ! Que faites-vous comme travail ?
5101	Hmmm, oui j'ai entendu cela. Apparemment, la plupart des alpinistes ne tombent pas sur les voies les plus dangereuses, mais sur les voies les plus faciles, lorsque leur garde est baissée ! On dirait que c'est le même phénomène psychologique.	Oui, c'est la même philosophie. Vous semblez en savoir beaucoup sur l'alpinisme. Vous faites beaucoup d'escalade ?
5105	Avez-vous des projets intéressants ?	Oui, je me rends à Vancouver ce week-end. Et vous ? ?? ...
5109	Vous y assistez souvent ?	oui, vous ?
5114	Un sandwich pour le déjeuner ? C'était nourrissant. Je mange actuellement un mélange de crevettes, de poisson, de poulet et de porc. J'envisage de devenir végétarienne. Lol.	C'est beaucoup de viande, quel plat ? Pourquoi envisagez-vous de devenir végétarien ?
5115	Parce que l'environnement et les humains sont nuls. Je garde mes paris ouverts pour l'espace au cas où l'environnement meurt. J'ai mélangé quelques plats. C'était un endroit où il y avait un buffet.	Que pensez-vous de ces hamburgers sans viande ?
5119	Comment vous sentez-vous aujourd'hui ?	Plutôt bien. Et vous ?
5120	Je regarde de vieilles photos de ma ville natale, je suis donc nostalgique.	Je vous comprends. Les souvenirs affluent toujours quand on regarde des photos. Où est votre ville natale ?
5121	Il s'agit de <REDACTED_TERM>, sur la côte nord de la France.	J'espère que vous pourrez prendre le temps de la visiter très bientôt !
5163	Pendant les vacances de Noël.	Vous feriez mieux d'acheter votre billet maintenant.
5186	J'essaie d'optimiser mon budget.	Comment faites-vous cela ?
5195	Elles étaient en solde pour 80$.	Est-ce qu'elles vous aident à courir plus vite ?
5256	Tu t'amuses ?	Je m'amuse beaucoup. Et vous ? Qu'est-ce que tu fais ?
5257	Bonjour. Comment allez-vous cet après-midi ?	Bien, merci. Je peux voir un menu, s'il vous plaît ?
5261	Je peux vous offrir autre chose ?	Non, merci. J'aimerais avoir l'addition, s'il vous plaît.
5307	Est-il difficile de se préparer à l'IELTS ?	Non, si vous vous entraînez bien.
5309	Comment était le film ?	C'était très intéressant. Vous devriez le regarder.
5316	Est-ce que tout le monde apportera de la nourriture ?	Ce serait bien si vous pouviez apporter un plat d'accompagnement, mais le reste de la nourriture sera fourni.
5333	Tu veux de l'aide pour la nourriture ?	Apportez simplement ce que vous et Jake voulez boire.
5338	Bonjour, c'est bien Ryan ?	Vous êtes en train de parler avec Ryan.
5352	Bonjour, je m'appelle David. Enchanté de vous rencontrer.	Bonjour, je m'appelle Jenny. C'est un plaisir pour moi de vous rencontrer.
5355	C'était vraiment agréable de parler avec vous.	Oui. C'était un grand plaisir de vous rencontrer.
5376	Pourquoi tu ne viens pas avec nous ?	C'est gentil mais mes parents ne me permettraient pas d'aller avec vous.
5401	Ravi de vous voir	Très heureux de vous voir
5416	Qu'est-ce que tu fais ?	Je discute avec vous
5442	Ravi de vous voir	C'est bon de vous voir.
5444	Bonjour.	Bonjour. Comment allez-vous ?
5455	Viens t'asseoir. Tu veux un verre ?	Oh, oui, s'il vous plaît ! J'aimerais un gin tonic.
5456	Vous aimez les olives ? Ou préférez-vous des chips ?	Oh, juste des olives s'il vous plaît. Quelle est cette musique ?
5498	A quoi dois-je penser en choisissant mes services ?	Il existe des sites web qui permettent de déterminer la couverture qui vous convient.
5522	Bonjour	comment puis-je vous aider ?
5523	Bonjour !	comment puis-je vous aider ?
5524	Bonjour !	Comment puis-je vous aider ?
5525	bonjour	comment puis-je vous aider ?
5539	Savez-vous quel bus je peux prendre pour aller au PCC ?	Dites-moi où vous devez monter.
5543	Où est-ce que je descends ?	Vous descendez à Del Mar et Hill.
5577	Laissez-moi faire ça pour vous maintenant.	S'il vous plaît, mettez 150 $ sur chaque compte pour moi.
5594	Sur quel compte voulez-vous déposer ça ?	Pourriez-vous déposer cet argent sur mon compte courant, s'il vous plaît ?
5621	Comment puis-je vous aider ?	Pouvez-vous annuler un chèque pour moi ?
5625	Je vais juste l'annuler pour vous tout de suite.	C'est génial. Vous me sauvez la vie.
5634	Et ensuite ?	Vous devez taper votre code PIN.
5637	Je ne sais pas comment m'en servir.	De quoi parlez-vous ?
5638	Je n'ai jamais utilisé de distributeur de billets avant.	Je peux vous montrer comment l'utiliser.
5639	Comment l'utiliser ?	Vous devez pousser votre carte dans la machine.
5641	Que dois-je faire d'autre ?	Toutes les options que vous pouvez choisir s'affichent à l'écran. C'est à peu près tout.
5644	Qu'est-ce que je dois faire maintenant ?	Ensuite, vous devez taper votre code PIN.
5645	Et maintenant ?	Il suffit de cliquer sur l'un des choix qu'ils vous proposent, et c'est tout.
5648	A combien s'élèvent les frais ?	Vous devrez payer 25 $ chaque fois que vous serez à découvert.
5649	C'est une petite commission ?	Ça devrait vous empêcher d'être à découvert.
5657	En quoi est-ce une petite commission ?	Ces frais devraient vous empêcher d'être à découvert.
5675	Pouvez-vous m'aider ?	De quoi avez-vous besoin ?
5684	Je peux vous aider sur votre nouveau projet ?	J'ai besoin d'aide pour l'écriture, mais aussi pour le travail sur ordinateur. Que préférez-vous ?
5708	Bonjour, puis-je parler au gérant de l'appartement, s'il vous plaît ?	Bonjour, c'est le gérant de l'appartement qui vous parle.
5737	Bonjour	hello, comment puis-je vous aider ?
5738	Bonjour	Greetings, comment puis-je vous aider ?
5740	Qu'est-ce que je suis censé faire pour ma facture alors ?	Vous devriez peut-être appeler votre bureau de poste.
5741	Puis-je obtenir un délai supplémentaire pour le paiement de ma facture ?	Oui, mais vous devrez nous envoyer la preuve de leur erreur.
5743	Que vais-je faire puisque je n'ai pas reçu la facture ?	Si vous ne l'avez pas encore reçue, vous devriez probablement vous adresser à votre bureau de poste.
5745	Heureux de vous aider	Vous êtes les bienvenus
5749	Qu'est-ce que tu fais ?	Je discute avec vous. Dites-moi quelle est votre question ?
5762	Bonjour, c'est bien la résidence des Smith ?	Bonjour, comment puis-je vous aider aujourd'hui ?
5767	On m'a vendu un service sans fil indisponible dans ma région.	Je le vois ici, on vous a fait payer 5 $ de plus par mois.
5770	Bonjour ? Je voudrais prendre un rendez-vous.	Bonjour ! A quelle heure voulez-vous venir ?
5779	Excusez-moi, je peux vous emprunter votre adoucissant ?	Bien sûr, prenez-en autant que vous voulez.
5785	Bonjour, est-ce que c'est M. Smith ? Je suis Mme Jones.	Bonjour, Mme Jones. Vous avez eu mon message ?
5786	Quel est le but exact de cette réunion ?	Je voulais juste vous dire que James va très bien.
5789	Mais on n'a pas encore sommeil !	Si vous vous mettez au lit tout de suite, je vais vous lire un conte de fées.
5806	Bonjour, comment allez-vous ?	Je vais très bien, et vous ?
5811	Bonjour. Comment allez-vous aujourd'hui ?	Je vais très bien. Et vous ?
5827	Vous en voulez ?	S'il vous plaît, quelque chose de chaud serait parfait en ce moment !
5829	Le météorologue a dit qu'il y a une forte probabilité de pluie.	Depuis quand regardez-vous les informations ?
5872	Tu veux faire quelque chose ?	Qu'avez-vous en tête ?
5886	Tu devrais plutôt aller dans une école professionnelle.	Je ne pense pas que vous compreniez.
5890	J'ai une retenue sur mon dossier, parce que mes livres de bibliothèque étaient en retard.	Vous ne pouvez pas simplement payer les frais de retard ?
5900	Il me faut des heures pour trouver ma salle de classe.	Je pourrais être en mesure de vous aider.
5910	Oh, pas étonnant qu'il ou elle le vende pour seulement 30 dollars.	Quelle édition vous faut-il ?
5921	Tu n'as même pas encore vérifié ton planning !	Je sais que je suis occupé, car beaucoup de gens ont déjà pris rendez-vous.
5923	Mais les tuteurs ne sont pas des professeurs. Ce sont juste des étudiants.	Ils pourraient vous surprendre
5932	Je me sentais mal.	Gardez juste le score que vous avez.
5941	Ne vous inquiétez pas, je promets de ne pas vendre vos notes.	Je ne peux pas vous croire sur parole.
5942	Je pense que votre politique de notation est injuste.	Je vous demande pardon ? !
5943	Pourquoi un 90percentage est un B ?	J'essaie de vous mettre au défi, les gars.
5945	Il est temps de changer.	Je ne vais pas changer ma politique parce que vous ne l'aimez pas.
5954	Pourquoi étiez-vous absent hier ?	Pourquoi cela vous intéresse-t-il ?
5967	Vous êtes sérieux ?	Oui, je le suis. Veuillez prendre rendez-vous pour la semaine prochaine.
5968	J'ai vraiment besoin de la voir.	Je suis désolé, mais vous ne pouvez vraiment pas.
5971	C'est tout ce dont j'ai besoin.	La prochaine fois, vous feriez mieux de prendre rendez-vous.
5973	C'est parce que je suis inquiet.	De quoi êtes-vous inquiet ?
5994	C'est magnifique sur les photos que j'ai vues.	Prenez-en beaucoup quand vous y êtes.
5997	Ma spécialité est la géologie.	Les étudiants en géologie ne sont pas très demandés, mais vous vous en sortirez très bien.
5998	Qu'est-ce qui te fait dire ça ?	Vous êtes intelligent et sympathique. Ne vous inquiétez pas.
6001	Tu y es déjà allé ?	Oui, et c'est très utile. Habillez-vous bien !
6003	Nous devrions aller dans un restaurant à proximité.	Vous voulez aller à Health Nut ?
6010	Il pourrait sortir si quelqu'un achète un article de la même colonne que le vôtre.	Pouvez-vous être ce quelqu'un ?
6015	Je ne savais pas qu'on en avait besoin.	S'il vous plaît, allez chercher votre carte d'identité, et refaites la queue.
6016	Mais j'ai fait la queue pendant deux heures !	Je suis désolé, mais vous avez besoin d'une carte d'étudiant pour acheter des manuels ici.
6017	Y a-t-il d'autres options ?	Montrez-moi une preuve que vous êtes étudiant dans cette université, et vous serez bon.
