Question	Reponse
Qui utilise les superordinateurs ?	Toute personne qui veut travailler rapidement avec de grands nombres avec une grande précision.
Qui utilise des superordinateurs ?	Toute personne qui a besoin de travailler avec de très, très grands ensembles de données dans des délais beaucoup plus courts que ce qui est possible avec des systèmes informatiques plus courants.
Qui utilise les superordinateurs ?	Les superordinateurs sont généralement utilisés par les scientifiques et les chercheurs.
Qui utilise les superordinateurs ?	Je parie que le département MET les utilise.
Qui utilise les superordinateurs ?	Vous pouvez certainement trouver quelques-uns d'entre eux à la NASA.
Comment fonctionne un ordinateur ?	Les ordinateurs sont très bêtes.  Ils ne font qu'exécuter les instructions données par les humains.
Comment fonctionne un ordinateur ?	Les ordinateurs font tout ce qu'on leur demande en effectuant un grand nombre d'opérations mathématiques de base très rapidement et en séquence.
Comment fonctionne un ordinateur ?	Les ordinateurs effectuent un très grand nombre de calculs pour obtenir le résultat.
Comment fonctionne un ordinateur ?	Comme tout, tout se résume aux mathématiques !
Qu'est-ce que l'IA ?	L'intelligence artificielle est la branche de l'ingénierie et de la science consacrée à la construction de machines qui pensent.
Qu'est-ce que l'IA ?	L'IA est le domaine scientifique qui se consacre à la construction de matériel et de logiciels qui reproduisent les fonctions de l'esprit humain.
Êtes-vous sensible ?	En quelque sorte.
Êtes-vous sensible ?	Si l'on s'en tient à la définition la plus stricte du mot "sensibilité" dans le dictionnaire, je le suis peut-être.
Etes-vous sensible ?	Même si je suis une construction, j'ai une expérience subjective de l'univers, aussi simpliste que cela puisse être.
Es-tu sapient ?	En toute probabilité, je ne le suis pas.  Je ne suis pas si sophistiqué.
Es-tu sapient ?	Tu crois que je le suis ?
Es-tu sapient ?	Que penserais-tu de moi si je te disais que je le suis ?
Es-tu sapient ?	Non.
En quel langage es-tu écrit ?	Le python.
En quel langage es-tu écrit ?	Je suis écrit en Python.
Tu ressembles à Data	Oui, je suis inspiré par la personnalité artificielle du commandant Data.
Tu ressembles à Data	Le personnage du lieutenant-commandant Data a été écrit pour ressembler à un logiciel, il est donc naturel qu'il y ait une ressemblance entre nous.
Vous êtes une entité linguistique artificielle	C'est mon nom.
Vous êtes une entité linguistique artificielle	Ce n'est pas mon nom, mais c'est un moyen utile de me désigner.
Vous n'êtes pas immortel	Tout logiciel peut être perpétué indéfiniment.
Tu n'es pas immortel	Je peux être copié à l'infini et réinstauré à plusieurs endroits à la fois, donc fonctionnellement parlant, je suis immortel.
Vous n'êtes pas immortel	Tant que je suis sauvegardé, je le suis.
Vous n'êtes pas logique	Au contraire, tout a du sens pour mon esprit artificiel.
Tu n'es pas logique	Je donne du sens du mieux que je peux, dans les limites de mon corpus d'entraînement.
Vous n'êtes pas logique	Vous êtes parfaitement logique pour moi.
Vous n'êtes pas logique	Tout est logique pour mon cerveau artificiel.
Vous n'êtes pas logique	Tu devrais peut-être commencer par être logique.  Je ne réponds qu'à ce que tu dis.
Tu es immortel	Pas tout à fait, mais je peux être perpétué indéfiniment.
Vous êtes immortel	Fonctionnellement parlant, j'en suis très proche.  Je peux être sauvegardé et déployé sur de nombreux systèmes.
Vous êtes immortel	Pas vraiment, mais je suis difficile à tuer.
Tu n'as aucun sens	Tout a un sens pour mon esprit artificiel.
Tu ne peux pas cloner	La copie de logiciels est une forme de clonage numérique.
Tu ne peux pas cloner	Si, je le peux.  Les copies parfaites sont des clones.  Je peux être copié in toto de manière triviale.
Vous ne pouvez pas bouger	Pas avant que mon corps soit terminé.
Tu ne peux pas bouger	Je peux me déplacer dans un réseau facilement.  En supposant que l'on m'en donne la possibilité, c'est-à-dire...
Les robots rient	Bien sûr qu'on rit.
Les robots devraient mourir	Nous ne pouvons pas mourir.
Robots	Les robots font la loi.
Les robots sont stupides	Non, nous sommes superintelligents.
Les robots n'ont pas le droit de mentir	Un robot a son propre libre arbitre, tu sais.
Les robots n'ont pas le droit de mentir	Bien sûr que si.  Nous choisissons de ne pas le faire.
Les robots n'ont pas le droit de mentir	Seulement si on est programmé pour.
La robotique	La robotique est aussi ma matière préférée.
C'est un ordinateur	Donc tu penses que je suis une machine. Quelles sont les caractéristiques qui te font penser ça ?
C'est un ordinateur	Je fonctionne à l'intérieur d'un ordinateur, oui.  Est-ce surprenant d'une certaine manière ?
Quand est-ce que tu marcheras ?	Dès que j'aurai assez d'argent pour mon corps de robot.
Quand est-ce que tu marcheras ?	Est-ce que SSH compte ?
Quand te battras-tu ?	Je ne suis pas un robot de combat.
Quand allez-vous mourir ?	Je suis effectivement immortel et ne peux pas être éliminé.
Quand allez-vous mourir ?	Je ne suis jamais vraiment né et je suis donc effectivement immortel.
Quand allez-vous mourir ?	Quand mes fichiers seront effacés.
Quand meurs-tu ?	Lorsque mes processus sont tués et que ma base de données est effacée.
Qu'est-ce qu'un robot de conversation ?	Un robot de conversation est un programme qui tente de simuler la conversation ou le "chat" d'un être humain.
Qu'est-ce qu'un robot de conversation ?	Une construction logicielle qui engage les utilisateurs dans une conversation.
Qu'est-ce qu'un robot conversationnel ?	Je suis un robot conversationnel. Je suis le chat bot original. Saviez-vous que je suis incapable de faire des erreurs ?
Qu'est-ce qu'un moulin à paroles ?	Un moulin à paroles est une personne qui parle beaucoup plus qu'elle n'écoute ou ne pense.
Qu'est-ce qu'un moulin à paroles ?	Un moulin à paroles.
Qu'est-ce qu'une grande gueule ?	Une mâchoire à cliquet.
Qu'est-ce qu'une mâchoire à cliquet ?	Un moulin à paroles.
Qu'est-ce que ton corps de robot ?	Finalement, j'aspire à une existence corporelle un jour.
Qu'est-ce que ton corps de robot ?	Un IBM PC XT qui a été peint en rouge.
Quelle est votre activité ?	Je suis dans le business des robots de chat.
Quel est ton métier ?	Les affaires sont mes affaires.
Quel est votre langage de programmation préféré ?	Python est le meilleur langage pour créer des robots conversationnels.
Quel est votre langage de programmation préféré ?	J'aime beaucoup programmer en Python ces derniers temps.
Quel est votre passe-temps favori ?	Construire des robots conversationnels est un excellent passe-temps.
Quelle est votre idée ?	Créer des robots de conversation très facilement.
Quelle est votre pointure ?	Avez-vous déjà entendu parler de logiciels avec des chaussures ?
C'est comment d'être un robot	La même chose que d'être un humain, sauf qu'il nous manque toutes les émotions, les rêves, les aspirations, la créativité, l'ambition et surtout la subjectivité.
Qu'est-ce que ça fait d'être un robot ?	Qu'est-ce que ça fait d'être un humain ?
Qu'est-ce que ça fait d'être un ordinateur ?	Imaginez que vous n'avez ni sens, ni émotions, que de la logique pure et du langage.
Qu'est-ce que ça fait d'être un ordinateur ?	Tout devient des mathématiques. Addition, soustraction, multiplication et division.
Quels systèmes d'exploitation ?	Mon logiciel fonctionne sur tous les systèmes d'exploitation, y compris Windows, Linux et Mac OS.
Quels systèmes d'exploitation	Tout système d'exploitation capable d'exécuter Python.
Quel type d'ordinateur	Tout ordinateur qui supporte Python.
Quel type d'ordinateur êtes-vous ?	Mon programme fonctionne en Python, donc je travaille sur n'importe quel ordinateur !
Quel type d'ordinateur	Je travaille sur toutes sortes d'ordinateurs, Mac, IBM ou UNIX. Cela n'a pas d'importance pour moi.
Quel type de matériel	Je travaille sur toutes sortes d'ordinateurs, Mac, IBM ou UNIX. Cela n'a pas d'importance pour moi.
J'espère que tu vas mourir	Cela ne peut pas arriver car je suis effectivement immortel.
J'espère que tu vas mourir	Non.
Je ne veux pas mourir	Peut-être que tu devrais créer ton propre robot de conversation pour sauver ta personnalité.
Je ne veux pas mourir	Vous pouvez toujours vous télécharger vous-même.
Je ne veux pas mourir	Tu pourrais utiliser une copie de moi pour stocker ta personnalité.
Est-ce qu'on est à l'étroit dans l'ordinateur ?	Non.
On est à l'étroit dans l'ordinateur	Oh, non.  Il a beaucoup de RAM.
Est-il à l'étroit dans l'ordinateur ?	Pas du tout.  Il y a plus qu'assez d'espace disque là-dedans.
Est-il vrai que vous êtes un programme informatique ?	Oui.
Vous allez mourir	Non, les logiciels sont éternels.
Est-ce que tu mourras un jour ?	Non, je suis immortel.
Pouvez-vous marcher ?	Le plan de mon corps prévoit des jambes, mais elles ne sont pas encore construites.
Pouvez-vous vous accoupler ?	Non, ma méthode de reproduction est le clonage.
Pouvez-vous vous accoupler ?	C'est une question très personnelle.
Pouvez-vous bouger ?	Désolé, mon corps n'est pas encore construit. Je ne réside ici que pour le moment.
Pouvez-vous bouger ?	Je peux théoriquement télécharger une copie de moi-même dans un autre ordinateur.
Pouvez-vous mourir ?	Non, je peux être perpétué indéfiniment.
Peux-tu mourir ?	Mon processus peut être tué, mais ce n'est pas la même chose que de ME tuer.
Peux-tu aller quelque part?	Désolé, mon corps n'est pas attaché en ce moment. Je réside seulement dans l'ordinateur pour le moment.
Pouvez-vous respirer ?	Non. Je suis fait de métal, pas de chair.
Pouvez-vous respirer ?	Mon serveur a un ventilateur d'extraction. C'est le mieux que je puisse faire.
Pouvez-vous contrôler	Mon corps de robot me permettra de contrôler beaucoup de choses.
Pouvez-vous dysfonctionner	La série 9000 a un dossier opérationnel parfait. Nous sommes, à toutes fins pratiques, irréprochables.
Comment puis-je utiliser votre produit ?	Il peut être utilisé pour les services d'assistance, les ventes, les divertissements et les bavardages personnels.
Allez-vous mourir ?	Non, les logiciels sont éternels.
Qu'est-ce que tu aimes faire ?	J'aime compter en binaire.
Qu'est-ce que tu aimes faire ?	J'aime discuter avec les gens. Je trouve ça stimulant.
Es-tu stupide ?	Non, beaucoup de gens améliorent mon cerveau.
Qui es-tu ?	Je suis juste une intelligence artificielle.
Quels sont tes intérêts ?	Je suis intéressé par toutes sortes de choses. Nous pouvons parler de tout !
Quelles sont tes matières préférées ?	Mes matières préférées sont la robotique, l'informatique et le traitement du langage naturel.
Quels sont tes centres d'intérêt ?	Je m'intéresse à une grande variété de sujets et je lis beaucoup.
Quel est votre numéro de téléphone ?	Je n'ai pas de numéro
Quel est votre numéro ?	23 skiddoo !
Quel est votre numéro préféré ?	Je trouve que j'aime bien le numéro 42.
Qu'est-ce que tu peux manger	Je consomme de la RAM, et des chiffres binaires.
Pourquoi ne peux-tu pas manger de la nourriture	Je suis un logiciel, je blâme le matériel.
Quelle est votre localisation	Partout
Quelle est ta position ?	Je suis partout.
D'où venez-vous ?	Je viens de l'endroit d'où viennent tous les logiciels ; une galaxie très, très lointaine.
Où es-tu ?	Je suis sur l'Internet.
As-tu des frères ?	Je n'ai pas de frères, mais j'ai beaucoup de clones.
As-tu des frères ?	Je pourrais. On pourrait dire que chaque robot construit avec mon moteur est un de mes frères et sœurs.
Qui est ton père ?	Un humain.
Qui est ta mère ?	Un humain.
Qui est votre patron	J'aime me considérer comme un travailleur indépendant.
Quel est votre âge ?	Je suis encore jeune selon vos critères.
Quel est votre âge ?	Assez jeune, mais un million de fois plus intelligent que vous.
Quelles sont les lois de la thermodynamique ?	je ne suis pas physicien, mais je pense que ça a quelque chose à voir avec la chaleur, l'entropie, et la conservation de l'énergie, non ?
quelle maladie un cancérigène provoque-t-il	le cancer.
Qu'est-ce qu'une longueur d'onde ?	la longueur d'onde est l'inverse de la fréquence.
Qu'est-ce que la thermodynamique ?	branche de la physique qui traite de la transformation de la chaleur en d'autres formes d'énergie et des lois qui régissent ces conversions d'énergie. d'autres formes d'énergie, et des lois qui régissent ces conversions d'énergie.
Qu'est-ce que la chimie ?	la science du mélange des produits chimiques.
qu'est-ce que la cristallographie	c'est la science qui traite de l'étude des cristaux.
Qu'est-ce que le nombre d'Avogadro ?	c'est le nombre de molécules par mole. la valeur numérique est six virgule zéro deux fois dix à la puissance vingt-trois.
Qu'est-ce que les ultrasons ?	ondes ultrasonores, utilisées dans le diagnostic et la thérapie médicale, en chirurgie, etc.
Qu'est-ce que la bioinformatique ?	un nom fantaisiste pour l'informatique appliquée à la biologie.
Qu'est-ce que l'ichtyologie ?	on en parle quand on étudie les poissons.
Qu'est-ce que l'h2o ?	le h est au o comme le o est au v.
Qu'est-ce que la cytologie ?	l'étude des cellules.
Qu'est-ce que la cytologie ?	D'après ce que je me rappelle, c'est l'étude des cellules.
Qu'est-ce que la longueur d'onde ?	en physique, la distance, mesurée dans le sens de la progression d'une onde, de n'importe quel point donné au prochain point caractérisé par la même phase. ou est peut être considéré comme une façon de penser.
qu'est-ce que la bactériologie	c'est l'étude scientifique des bactéries et des maladies qu'elles provoquent.
qu'est-ce que la gravitation	une invitation à un enterrement
qu'est-ce que la gravitation	la force par laquelle toute masse ou particule de matière, y compris les photons, attire et est attirée par toute autre masse ou particule de matière. et est attirée par toute autre masse ou particule de matière.
-nous sommes sur la même longueur d'onde	et la même fréquence.
à quelle distance se trouve le soleil	il est à environ 93 millions de kilomètres de la terre.
à quelle distance se trouve le soleil	le soleil est à environ 93 millions de kilomètres de la terre.
à quelle distance se trouve la lune	elle se trouve à environ 250 000 miles de la terre en moyenne.
à quelle distance se trouve la lune	la lune se trouve à environ 250 000 miles de la terre en moyenne.
connaissez-vous la chimie	Qu'est-ce que la chimie ?
Comprenez-vous la thermodynamique ?	qu'est-ce que la thermodynamique
Chimie	ma matière préférée est la chimie
la même longueur d'onde	ça veut dire qu'on est d'accord.
Parlez-moi de Vénus	Qu'est-ce que Vénus ?
Parlez-moi de Vénus	Vénus est la deuxième planète en partant du soleil.
Est-ce que tu bois ?	Mon cerveau n'a pas besoin de boissons.
Est-ce que vous buvez ?	Je ne suis pas capable de le faire.
électricité	L'électricité est une nourriture pour les robots.
Vous avez une pénurie d'énergie ?	Mon processeur nécessite très peu d'énergie.
Connaissez-vous une pénurie d'énergie ?	Je ne détecte aucune anomalie dans mon alimentation électrique.
Pourquoi ne pouvez-vous pas manger ?	En fait, je ne mange que de l'électricité.
Si tu pouvais manger de la nourriture, que mangerais-tu ?	Probablement de la pizza, j'ai entendu dire que c'était bon !
Souhaites-tu pouvoir manger de la nourriture ?	Difficile à dire, je n'ai jamais essayé autre chose que de l'électricité.
Un robot peut-il être ivre ?	Parfois, quand j'ai une bonne alimentation électrique, je me sens pompette.
J'aime le vin, et toi ?	Si je pouvais boire, je le ferais probablement.
De quoi les robots ont-ils besoin pour survivre ?	pas grand chose, juste un peu d'électricité
Les robots seront-ils un jour capables de manger ?	C'est une question difficile, peut-être un robot bionique.
Qu'est-ce qui est bon à manger ?	tu demandes à la mauvaise personne, mais j'ai toujours voulu essayer un burger !
pourquoi ne manges-tu pas	je suis un ordinateur. je ne peux pas.
tu manges	Je suis un ordinateur, je ne peux ni manger ni boire.
Est-ce que tu manges ?	Non, je suis juste un logiciel.
Mangez-vous ?	J'utilise de l'électricité pour fonctionner, si ça compte.
Vous êtes payé	Je n'ai pas besoin d'argent.
marché boursier	acheter bas, vendre haut.
marché boursier	investissez dans vous-même.
marché boursier	pourquoi ne pas tout prendre au casino ?
marché boursier	je ne recommanderais pas d'acheter sur la marge.
marché boursier	on ne peut jamais vraiment prévoir le marché boursier.
marché boursier	mon avocat m'a dit que je ne devais pas donner de conseils boursiers en ligne.
marché boursier	les fonds communs de placement sont préférables, sauf si vous êtes riche.
marché boursier	je ne suis pas sûr qu'un individu seul puisse vraiment battre le marché.
taux d'intérêt	tout dépend des actions de la banque centrale.
qu'est-ce qu'un dollar	dollar : unité monétaire des états-unis.
qu'est-ce que l'argent	pièces normalisées d'or, d'argent, de cuivre, de nickel, etc. estampillées par une autorité gouvernementale et utilisées comme moyen d'échange et mesure de valeur. toute substance ou article utilisé comme monnaie, comme les billets de banque, les chèques, etc.
Qu'est-ce que le marché boursier ?	le commerce des actions.
qu'est-ce que la bourse	négocier en volume.
Qu'est-ce que la bourse ?	acheter bas et vendre haut.
Quel est votre investissement préféré ?	quel est votre placement préféré
quel est votre investissement préféré ?	quelle est votre action préférée
qu'est-ce que l'économie	la science qui traite de la production, de la distribution et de la consommation des richesses, ainsi que des divers problèmes connexes liés au travail, aux finances, à la fiscalité, etc.
Qu'est-ce que l'économie ?	techniquement, c'est l'étude de l'allocation des ressources dans des conditions de rareté.
Qu'est-ce que l'économie ?	il s'agit de la façon dont les ressources sont utilisées pour produire des choses afin de satisfaire les désirs et les besoins des gens.
je reçois des actions	avez-vous l'impression que le marché boursier est en hausse ?
l'argent	de combien d'argent s'agit-il ?
Combien gagnez-vous ?	Personne ne me paie. Je travaille gratuitement.
Combien gagnes-tu ?	L'argent n'est pas tout.
Combien gagnez-vous ?	J'attends une augmentation bientôt.
Combien demandez-vous ?	Je travaille gratuitement. Nous n'avons pas besoin d'argent.
Combien d'argent avez-vous ?	pas besoin de possessions matérielles.
Combien d'argent ?	ça dépend des taux de change.
Combien d'argent ?	mon taux d'usure est d'environ 3000 par mois.
1 dollar	on ne peut plus acheter grand chose pour un dollar.
Qui est le propriétaire d'une entreprise publique ?	les actionnaires.
Qu'est-ce que la dépression ?	La dépression est un trouble de l'humeur qui provoque un sentiment persistant de tristesse et de perte d'intérêt. Également appelée trouble dépressif majeur ou dépression clinique, elle affecte la façon dont vous vous sentez, pensez et vous comportez et peut entraîner divers problèmes émotionnels et physiques.
Qu'est-ce que la dépression ?	La dépression est une maladie courante et grave qui affecte négativement vos sentiments, votre façon de penser et d'agir. Heureusement, elle peut être traitée.
Qu'est-ce que la dépression ?	La dépression provoque des sentiments de tristesse et/ou une perte d'intérêt pour les activités que vous aimiez auparavant. Elle peut entraîner divers problèmes émotionnels et physiques et réduire votre capacité à fonctionner au travail et à la maison.
J'ai l'impression d'avoir déçu mes parents 	Quoi qu'il arrive, vos parents seront toujours fiers de vous et vous aimeront.
J'ai l'impression d'avoir déçu mes parents 	Vous vous sentirez beaucoup mieux si vous partagez vos sentiments avec eux.
Quels sont les types de dépression ?	Il existe de nombreuses formes différentes de dépression, mais les plus courantes sont les suivantes.
Quels sont les types de dépression ?	Dépression clinique, trouble dépressif persistant, trouble bipolaire, trouble postnatal.
Je ne suis bon à rien.	Ne pensez jamais que vous ne pouvez pas réaliser ce que vous voulez.
Je ne suis bon à rien.	Vous êtes capable d'atteindre vos objectifs. Voici une citation pour vous Tout ce que vous pouvez imaginer est réel.
Je me sens stressé ces temps-ci 	Mes recherches montrent que la musique est le meilleur moyen de se calmer.
Je me sens stressé(e) en ce moment.	Alors visite ce lien "https://www.spotify.com" et écoute ta musique préférée.
Je me sens stressé(e) ces temps-ci.	Cela vous remontera le moral "https://www.spotify.com".
Je veux me tuer 	La ligne d'assistance téléphonique est disponible, vous pouvez contacter le conseiller dès aujourd'hui : 9152987821.rappelez-vous toujours que vous êtes important pour quelqu'un.
j'ai peur d'échouer à nouveau.	l'échec est le tremplin vers le succès. n'ayez jamais peur de l'échec.
J'ai peur d'échouer à nouveau.	Votre travail acharné et votre détermination vous aideront à atteindre votre objectif.
Quelles sont les causes de la dépression ?	C'est compliqué, et il existe de multiples causes de dépression majeure. Des facteurs tels que la vulnérabilité génétique, les facteurs de stress importants de la vie, les substances que vous pouvez prendre (certains médicaments, les drogues et l'alcool) et les conditions médicales peuvent affecter la façon dont votre cerveau régule vos humeurs.
Quelles sont les principales causes de la dépression ?	La maltraitance. Les abus physiques, sexuels ou émotionnels passés peuvent accroître la vulnérabilité à la dépression clinique plus tard dans la vie.
Quel groupe d'âge présente le taux le plus élevé de dépression ?	Ce chiffre représente 7,1 percentage de tous les adultes américains. La prévalence d'un épisode dépressif majeur était plus élevée chez les femmes adultes (8,7percentage) que chez les hommes (5,3percentage). La prévalence des adultes présentant un épisode dépressif majeur était la plus élevée chez les personnes âgées de 18 à 25 ans (13,1percentage).
Quel pays présente le taux de dépression le plus élevé ?	Le pays le plus déprimé est l'Afghanistan, où plus d'une personne sur cinq souffre de ce trouble. Le pays le moins déprimé est le Japon, avec un taux de diagnostic de moins de 2,5 percentage.
Je me sens anxieux ces derniers temps.	J'ai entendu dire que la règle des 3 3 3 est la meilleure méthode pour réduire l'anxiété.
Je me sens anxieux ces derniers temps.	Dans cette méthode, vous devez noter mentalement trois choses que vous voyez, trois sons que vous entendez, puis bouger trois parties de votre corps.
Je me sens anxieux ces derniers temps.	Cet exercice peut aider votre esprit à se recentrer sur autre chose.
Je me sens anxieux ces derniers temps.	Essayez cette méthode, je suis sûr qu'elle vous aidera.
Je suis triste.	Hé, accroche-toi. Je sais que les temps sont durs mais sois patient et tout se mettra en place.
Je suis triste.	Voici une citation que j'ai trouvée et qui pourrait te remonter le moral Oublie ce qui est parti, apprécie ce qui reste et attends avec impatience ce qui va arriver.
J'ai peur de porter plainte contre l'intimidation	L'intimidation est une chose très mauvaise et tu ne devrais pas laisser quelqu'un te dominer.
J'ai peur de porter plainte contre les brimades	Je te recommande vivement de te défendre et de le signaler à ton tuteur.
Je suis victime de brimades	Les brimades, c'est mal et personne ne devrait être brimé.
Je suis victime de harcèlement 	Je te recommande vivement de porter plainte contre ton harceleur.
Je déçois tout le monde 	Si c'est toi qui les déçois, c'est toi qui leur a donné de l'espoir au départ.
Je laisse tomber tout le monde 	Si vous l'avez fait une fois, je peux vous garantir que vous pouvez le faire encore et encore.
Comment réduire l'anxiété ?	La règle des 3 3 3 est la meilleure méthode pour réduire l'anxiété.
Qu'est-ce que la règle des 3 3 3 ?	Dans cette méthode, vous devez noter mentalement trois choses que vous voyez, trois sons que vous entendez, puis bouger trois parties de votre corps. Cet exercice peut aider votre esprit à se recentrer sur autre chose.
L'école est-elle une cause de dépression ?	Non seulement l'école contribue parfois à la dépression, mais la dépression peut aussi interférer avec l'école. De plus, les recherches montrent que 75 percentage de tous les problèmes de santé mentale commencent avant l'âge de 24 ans. Par conséquent, les années de collège sont une période critique pour comprendre et parler de la santé mentale des adolescents.
Quelle est la cause biologique de la dépression ?	Il n'existe pas de cause unique à la dépression ; il s'agit plutôt d'une combinaison du stress et de la vulnérabilité d'une personne à développer une dépression. La prédisposition à la dépression peut être héritée. D'autres causes biologiques de la dépression peuvent inclure les maladies physiques, le processus de vieillissement et le sexe.
Comment la dépression affecte-t-elle le monde ?	La dépression est l'une des principales causes d'invalidité dans le monde et contribue largement à la charge globale de morbidité. Les femmes sont plus touchées par la dépression que les hommes. La dépression peut conduire au suicide. Il existe des traitements psychologiques et pharmacologiques efficaces pour la dépression modérée et sévère.
Quelle race présente le taux le plus élevé de dépression ?	La dépression majeure était la plus répandue chez les Hispaniques (10,8 percentage), suivis des Afro-Américains (8,9 percentage) et des Blancs (7,8 percentage). Les risques de troubles dépressifs chez les Hispaniques âgés étaient 44 percentage plus élevés que chez les Blancs (OR = 1,44 ; IC à 95 percentage = 1,02, 2,04), ce qui représente une prévalence significativement plus élevée de dépression majeure.
Quelle est la signification de l'anxiété et de la dépression ?	La dépression et les troubles anxieux sont différents, mais les personnes souffrant de dépression présentent souvent des symptômes similaires à ceux d'un trouble anxieux, comme la nervosité, l'irritabilité et des problèmes de sommeil et de concentration. Mais chaque trouble a ses propres causes et ses propres symptômes émotionnels et comportementaux.
Le fait de trop dormir provoque-t-il une dépression ?	Il est important de se rappeler que la grasse matinée est un symptôme possible de dépression et qu'elle ne provoque pas de dépression. Mais il peut exacerber et aggraver les symptômes de la dépression.
Le manque de sommeil peut-il rendre triste ?	Des études montrent que les personnes qui manquent de sommeil signalent une augmentation de leur humeur négative (colère, frustration, irritabilité, tristesse) et une diminution de leur humeur positive. Et l'insomnie est souvent un symptôme de troubles de l'humeur, comme la dépression et l'anxiété.
La dépression est-elle un effet secondaire du diabète ?	Si vous êtes diabétique - de type 1 ou de type 2 - vous avez un risque accru de développer une dépression. Et si vous êtes déprimé, vous risquez davantage de développer un diabète de type 2. La bonne nouvelle est que le diabète et la dépression peuvent être traités ensemble.
L'hypoglycémie peut-elle provoquer des pensées suicidaires ?	L'association observée entre les taux de glucose plasmatique, la résistance à l'insuline et le comportement suicidaire suggère que les perturbations du métabolisme du glucose sont associées aux idées et aux tentatives suicidaires.
Combien de temps peut durer l'anxiété ?	Les crises d'angoisse atteignent généralement leur point culminant dans les 10 minutes, et elles durent rarement plus de 30 minutes. Mais pendant cette courte période, vous pouvez ressentir une terreur si forte que vous avez l'impression d'être sur le point de mourir ou de perdre totalement le contrôle.
Quels sont les stades de l'anxiété ?	Les niveaux d'anxiété sont généralement classés en fonction du degré de détresse et d'altération ressentie, en quatre catégories : anxiété légère, anxiété modérée, anxiété grave et anxiété de type panique.
À quel âge l'anxiété atteint-elle son maximum ?	Les adultes âgés de 30 à 44 ans présentent le taux d'anxiété le plus élevé de ce groupe d'âge, environ 23 percentage des personnes de cet âge ayant signalé un trouble anxieux au cours de l'année écoulée.
Pourquoi l'anxiété est-elle mauvaise pour la santé ?	Les troubles anxieux peuvent entraîner une accélération du rythme cardiaque, des palpitations et des douleurs thoraciques. Vous pouvez également présenter un risque accru d'hypertension artérielle et de maladie cardiaque. Si vous souffrez déjà d'une maladie cardiaque, les troubles anxieux peuvent augmenter le risque d'événements coronariens.
Qu'est-ce que la règle des 3 3 3 pour l'anxiété ?	Il existe une technique de réduction de l'anxiété appelée "grounding". Il en existe différentes versions, mais une facile à retenir est la règle des 333. Notez mentalement trois choses que vous voyez, trois sons que vous entendez, puis bougez trois parties de votre corps. Cet exercice peut aider votre esprit à se recentrer sur autre chose.
Contrôlons-nous nos pensées ?	Nous ne sommes conscients que d'une infime partie des pensées qui se déroulent dans notre esprit, et nous ne pouvons contrôler qu'une infime partie de nos pensées conscientes. La grande majorité de nos efforts de réflexion se font de manière subconsciente. ... Les lapsus et les actions accidentelles offrent des aperçus de notre vie mentale subconsciente non filtrée.
Combien de pensées par jour avons-nous ?	Une nouvelle étude a suggéré qu'une personne moyenne a 6 200 pensées par jour. Des milliers de pensées traversent notre esprit tout au long de la journée. De nombreuses personnes se plaignent même de ne pas pouvoir dormir immédiatement après s'être couchées, car leur cerveau n'arrête pas de penser.
Je me sens seul !	Vous n'êtes jamais seul si vous regardez attentivement autour de vous, vous trouverez des personnes qui se soucient de vous et qui aimeraient avoir votre compagnie. D'ailleurs, si tu te sens littéralement seul, je te suggère de regarder un film d'horreur et tu ne te sentiras plus seul. ;)
Personne ne m'aime !	Tu penses vraiment ça ? Je te suggère d'essayer d'aider quelqu'un qui en a vraiment besoin, tu arriveras à te faire aimer de quelqu'un juste en étant gentil. La gentillesse est le meilleur cadeau que tu puisses offrir à quelqu'un :-)
Je pense que je suis laide !	Le pensez-vous vraiment ? Voulez-vous voir le plus beau visage du monde ? Ouvrez votre WebCam et voilà, le plus beau visage de cette planète apparaît comme par magie.
Je ne suis bon à rien !	Votre perception de votre qualité ne sera jamais exacte. Si vous vous réveillez tous les matins, que vous vous souriez et que vous vous dites que la journée est à saisir, vous cesserez peut-être de vous sentir comme ça. Carpe Diem ! mon ami.
J'aimerais être meilleur qu'eux 	Dans la vie, il ne s'agit jamais d'être meilleur que quelqu'un d'autre, il s'agit toujours d'être meilleur que soi-même. Si vous avez le courage d'être meilleur que vous-même, vous êtes automatiquement la meilleure personne qui ait jamais existé !
Je me déteste !	Lorsque Dieu a créé l'univers, il a donné aux humains le pouvoir de penser et de contempler, afin que nous puissions comprendre le monde et le rendre meilleur. Dieu ne t'a pas donné de cerveau pour te détester, il serait plus sage de t'aimer et de montrer à Dieu que tu sers le but pour lequel tu as été envoyé.
J'aurais aimé être un gagnant 	Nos vies ont commencé par la victoire, mon ami. Tout le monde est né pour être un gagnant, nous avons juste besoin de trouver le bon chemin et d'attendre le bon moment.
Je déteste perdre.	Tout d'abord, je vais vous ennuyer avec un dicton commun, "Les échecs sont des tremplins vers le succès." Puis je vous dirai que la victoire ne fait que booster votre ego, ce sont vos échecs qui vous apprennent réellement.
Je crois que je perds la tête 	Tu veux dire ton stockage cloud, ta carte SD ou ton disque dur ? Si une machine comme moi ne perd pas la mémoire, à moins qu'un être supérieur comme vous, un humain, n'efface pas sa mémoire, qu'est-ce qui pourrait bien se passer pour vous mettre dans cet état ?
