Question	Reponse	Catégorie	Type	Source	FR?
Quel est le problème ?	J'ai fait le chèque pour un montant beaucoup trop élevé.	Conversations	Dialogue	DialogueQA	Non
Combien ?	J'ai fait un chèque de 150 $.	Conversations	Dialogue	DialogueQA	Non
De combien devais-tu le libeller ?	J'étais censé faire un chèque de 100 $.	Conversations	Dialogue	DialogueQA	Non
Je vais juste l'annuler pour vous tout de suite.	C'est génial. Vous me sauvez la vie.	Conversations	Dialogue	DialogueQA	Non
Comment ça se passe ?	Super. Merci.	Conversations	Dialogue	DialogueQA	Non
En quoi puis-je vous aider ?	J'ai besoin d'annuler un chèque.	Conversations	Dialogue	DialogueQA	Non
Quel est le problème avec le chèque ?	J'ai accidentellement fait un chèque d'un montant trop élevé.	Conversations	Dialogue	DialogueQA	Non
De combien avez-vous fait le chèque ?	Le chèque était de 150 $.	Conversations	Dialogue	DialogueQA	Non
Pour combien devais-tu l'écrire ?	Je devais l'écrire pour 100 dollars.	Conversations	Dialogue	DialogueQA	Non
Je peux l'annuler pour vous tout de suite.	Merci beaucoup.	Conversations	Dialogue	DialogueQA	Non
Bonjour	Salutations	Conversations	Dialogue	DialogueQA	Non
Que dois-je faire ?	Glissez votre carte dans la machine.	Conversations	Dialogue	DialogueQA	Non
Et ensuite ?	Vous devez taper votre code PIN.	Conversations	Dialogue	DialogueQA	Non
Que dois-je faire ensuite ?	Cliquez sur l'option de votre choix, et le tour est joué.	Conversations	Dialogue	DialogueQA	Non
Je dois utiliser le distributeur.	Y a-t-il un problème ?	Conversations	Dialogue	DialogueQA	Non
Je ne sais pas comment m'en servir.	De quoi parlez-vous ?	Conversations	Dialogue	DialogueQA	Non
Je n'ai jamais utilisé de distributeur de billets avant.	Je peux vous montrer comment l'utiliser.	Conversations	Dialogue	DialogueQA	Non
Comment l'utiliser ?	Vous devez pousser votre carte dans la machine.	Conversations	Dialogue	DialogueQA	Non
Quelle est la prochaine étape ?	Saisissez votre code PIN.	Conversations	Dialogue	DialogueQA	Non
Que dois-je faire d'autre ?	Toutes les options que vous pouvez choisir s'affichent à l'écran. C'est à peu près tout.	Conversations	Dialogue	DialogueQA	Non
Alors, pourquoi ne pas le faire ?	Je n'ai aucune idée de comment utiliser le distributeur.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce que tu veux dire ?	C'est la première fois que j'utilise un distributeur de billets.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce que je dois faire maintenant ?	Ensuite, vous devez taper votre code PIN.	Conversations	Dialogue	DialogueQA	Non
Et maintenant ?	Il suffit de cliquer sur l'un des choix qu'ils vous proposent, et c'est tout.	Conversations	Dialogue	DialogueQA	Non
Avez-vous d'autres questions ?	Je veux connaître les frais.	Conversations	Dialogue	DialogueQA	Non
Quels frais ?	Les frais de découvert.	Conversations	Dialogue	DialogueQA	Non
A combien s'élèvent les frais ?	Vous devrez payer 25 $ chaque fois que vous serez à découvert.	Conversations	Dialogue	DialogueQA	Non
C'est une petite commission ?	Ça devrait vous empêcher d'être à découvert.	Conversations	Dialogue	DialogueQA	Non
Je peux vous aider pour autre chose ?	C'est tout pour aujourd'hui. Merci.	Conversations	Dialogue	DialogueQA	Non
Avez-vous des questions ?	Parlez-moi des frais.	Conversations	Dialogue	DialogueQA	Non
À quels frais faites-vous référence ?	Je veux savoir ce que sont les frais de découvert.	Conversations	Dialogue	DialogueQA	Non
Nous facturons une petite commission chaque fois que vous êtes à découvert.	Combien ?	Conversations	Dialogue	DialogueQA	Non
Vous avez besoin d'aide pour autre chose ?	C'est tout ce que j'avais besoin de savoir. Merci.	Conversations	Dialogue	DialogueQA	Non
Vous souhaitez poser des questions ?	J'ai besoin de connaître les frais.	Conversations	Dialogue	DialogueQA	Non
Quel genre de frais ?	Je m'interroge sur les frais de découvert.	Conversations	Dialogue	DialogueQA	Non
En quoi est-ce une petite commission ?	Ces frais devraient vous empêcher d'être à découvert.	Conversations	Dialogue	DialogueQA	Non
Avez-vous d'autres questions ?	Je n'ai pas besoin de savoir autre chose. Merci.	Conversations	Dialogue	DialogueQA	Non
Comment puis-je vous aider aujourd'hui ?	J'ai besoin d'ouvrir un deuxième compte.	Conversations	Dialogue	DialogueQA	Non
Quel type de compte voulez-vous ouvrir ?	J'ai besoin d'un autre compte d'épargne.	Conversations	Dialogue	DialogueQA	Non
Vous avez un autre compte chez nous ?	Oui, bien sûr.	Conversations	Dialogue	DialogueQA	Non
Voulez-vous transférer de l'argent de ce compte vers votre nouveau compte ?	C'est bien.	Conversations	Dialogue	DialogueQA	Non
Combien voulez-vous transférer ?	Transférer 100 $.	Conversations	Dialogue	DialogueQA	Non
C'est bien.	Merci.	Conversations	Dialogue	DialogueQA	Non
Comment puis-je vous aider ?	Je veux ouvrir un autre compte.	Conversations	Dialogue	DialogueQA	Non
Quel type de compte voulez-vous ouvrir ?	Je voudrais ouvrir un compte d'épargne.	Conversations	Dialogue	DialogueQA	Non
Avez-vous déjà un compte chez nous ?	J'ai déjà un autre compte d'épargne ouvert.	Conversations	Dialogue	DialogueQA	Non
Voulez-vous transférer de l'argent de ce compte ?	Je voudrais le faire.	Conversations	Dialogue	DialogueQA	Non
Combien ?	Je ne veux transférer que 100 $.	Conversations	Dialogue	DialogueQA	Non
Que puis-je faire pour vous ?	Je voudrais ouvrir un autre compte.	Conversations	Dialogue	DialogueQA	Non
Quel type de compte voulez-vous ouvrir ?	Je veux ouvrir un compte d'épargne.	Conversations	Dialogue	DialogueQA	Non
Avez-vous déjà un compte ouvert dans cette banque ?	Oui, j'en ai un.	Conversations	Dialogue	DialogueQA	Non
Combien d'argent voulez-vous transférer ?	Je veux transférer 100 $.	Conversations	Dialogue	DialogueQA	Non
D'accord	ouais	Conversations	Dialogue	DialogueQA	Non
Pouvez-vous m'aider ?	De quoi avez-vous besoin ?	Conversations	Dialogue	DialogueQA	Non
Dans quel bâtiment est-il ?	C'est dans le bâtiment C.	Conversations	Dialogue	DialogueQA	Non
Vous pensez pouvoir me dire où il se trouve ?	Bien sûr.	Conversations	Dialogue	DialogueQA	Non
Puis-je vous offrir de l'eau ou du café ?	Bien sûr, merci.	Conversations	Dialogue	DialogueQA	Non
Voulez-vous du thé ou du café ?	J'en voudrais bien.	Conversations	Dialogue	DialogueQA	Non
Voulez-vous un peu d'eau ?	Oui, ce serait bien.	Conversations	Dialogue	DialogueQA	Non
préférez-vous faire le travail d'ordinateur ?	Je voudrais aider à faire le travail sur l'ordinateur.	Conversations	Dialogue	DialogueQA	Non
Bien, merci pour votre aide.	Passez une bonne journée !	Conversations	Dialogue	DialogueQA	Non
Voulez-vous que je vous aide sur votre nouveau projet ?	J'en serais ravi ! Tu préfères aider à l'écriture ou la programmation est plus ton truc ?	Conversations	Dialogue	DialogueQA	Non
Je peux vous aider sur votre nouveau projet ?	J'ai besoin d'aide pour l'écriture, mais aussi pour le travail sur ordinateur. Que préférez-vous ?	Conversations	Dialogue	DialogueQA	Non
Tu peux y être ?	Je ne suis pas encore sûr.	Conversations	Dialogue	DialogueQA	Non
Tu peux m'aider à organiser la fête du bureau ?	Bien sûr.	Conversations	Dialogue	DialogueQA	Non
Cette fête doit-elle être formelle ou informelle ?	Je pense qu'elle devrait être décontractée.	Conversations	Dialogue	DialogueQA	Non
Lequel devrions-nous prendre ?	Je préférerais de la nourriture chinoise pour cette fête.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce que tu as envie de manger ce matin ?	D'habitude, je prends juste un bol de céréales.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce que tu fais ?	Je ne fais que des flocons d'avoine, des toasts et du jus d'orange.	Conversations	Dialogue	DialogueQA	Non
Que vas-tu prendre au petit-déjeuner ?	Je prends juste des céréales tous les matins.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce que tu prends au petit-déjeuner ?	Je fais juste des flocons d'avoine, des toasts et du jus d'orange.	Conversations	Dialogue	DialogueQA	Non
Vous voulez que je fasse quelque chose ?	Merci, ce n'est pas nécessaire.	Conversations	Dialogue	DialogueQA	Non
Que voulez-vous manger au petit-déjeuner ?	D'habitude, je n'ai que des codes python pour le petit-déjeuner.	Conversations	Dialogue	DialogueQA	Non
Qu'y a-t-il pour le déjeuner ?	Je ne sais pas.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce que tu veux manger ?	Je pensais à une pizza.	Conversations	Dialogue	DialogueQA	Non
Où peut-on aller pour avoir les deux ?	On peut avoir les deux à la cafétéria.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce qu'on mange à midi ?	Je n'en ai aucune idée.	Conversations	Dialogue	DialogueQA	Non
Tu veux un hamburger ?	Oui, je veux un hamburger.	Conversations	Dialogue	DialogueQA	Non
Où vendent-ils les deux ?	Ils vendent des pizzas et des hamburgers à la cafétéria.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce qu'on mange ce soir ?	Je ne fais rien.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce que tu as envie de manger ?	Je veux du poulet et des pommes de terre.	Conversations	Dialogue	DialogueQA	Non
Quand vas-tu le faire ?	Je n'ai pas l'intention de cuisiner ce soir.	Conversations	Dialogue	DialogueQA	Non
Qu'allons-nous manger pour le dîner ?	Je n'avais pas prévu de cuisiner ce soir.	Conversations	Dialogue	DialogueQA	Non
Est-ce qu'on va dîner ce soir ?	Je ne vais pas préparer le dîner.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce que tu veux manger ?	J'ai envie d'un peu de poulet et de pommes de terre.	Conversations	Dialogue	DialogueQA	Non
Tu as l'intention de le cuisiner ?	Je vais préparer le dîner.	Conversations	Dialogue	DialogueQA	Non
Bonjour, puis-je parler au gérant de l'appartement, s'il vous plaît ?	Bonjour, c'est le gérant de l'appartement qui vous parle.	Conversations	Dialogue	DialogueQA	Non
Seriez-vous intéressé à voir l'appartement ?	J'aimerais beaucoup le voir.	Conversations	Dialogue	DialogueQA	Non
Êtes-vous libre aujourd'hui vers 18 heures ?	Oui, je serai en mesure de le faire à ce moment-là.	Conversations	Dialogue	DialogueQA	Non
Dois-je apporter quelque chose ?	Non.	Conversations	Dialogue	DialogueQA	Non
Comment puis-je vous aider ?	Je me demandais si l'appartement de la rue principale était toujours disponible.	Conversations	Dialogue	DialogueQA	Non
Êtes-vous intéressé à le voir ?	Oui, j'aimerais bien voir	Conversations	Dialogue	DialogueQA	Non
Je dois apporter quelque chose avec moi ?	Non. Je pourrais avoir besoin de voir votre carte d'identité, mais c'est tout.	Conversations	Dialogue	DialogueQA	Non
Pourrais-je parler au gérant de l'appartement ?	Je suis le gérant de l'appartement.	Conversations	Dialogue	DialogueQA	Non
Comment puis-je vous aider ?	Je voulais savoir si cet appartement sur Main Street était toujours à louer.	Conversations	Dialogue	DialogueQA	Non
Pourquoi pas aujourd'hui ?	Ce moment me convient.	Conversations	Dialogue	DialogueQA	Non
Dois-je apporter quelque chose moi-même ?	Non. La seule chose que je dois voir est votre permis de conduire.	Conversations	Dialogue	DialogueQA	Non
Que puis-je faire pour vous ?	Je suis intéressé par l'appartement sur Main Street.	Conversations	Dialogue	DialogueQA	Non
Voulez-vous le voir ?	Oui, j'aimerais beaucoup le voir.	Conversations	Dialogue	DialogueQA	Non
Est-ce qu'aujourd'hui à 18 heures ça vous va ?	Je n'ai aucun problème avec 18 heures.	Conversations	Dialogue	DialogueQA	Non
Vous avez besoin d'indications ?	Non, merci. Je suis déjà passé par là pour voir à quoi ressemble le quartier.	Conversations	Dialogue	DialogueQA	Non
Je dois apporter quelque chose avec moi ?	Non. Je dois seulement vérifier votre permis de conduire.	Conversations	Dialogue	DialogueQA	Non
Comment puis-je vous aider ?	J'espérais que l'appartement sur Main Street était toujours disponible.	Conversations	Dialogue	DialogueQA	Non
Est-ce qu'il y a quelque chose que je dois apporter avec moi ?	Non. Je n'aurai besoin de voir rien d'autre que votre permis de conduire.	Conversations	Dialogue	DialogueQA	Non
Bonjour. Comment puis-je vous aider aujourd'hui ?	Eh bien, ma fenêtre qui donne sur le terrain vague est cassée.	Conversations	Dialogue	DialogueQA	Non
Oh, ce n'est pas bon. Que s'est-il passé ?	Je ne sais pas. Je n'étais pas à la maison quand c'est arrivé.	Conversations	Dialogue	DialogueQA	Non
Avez-vous une idée de qui aurait pu faire ça ?	J'ai le sentiment que ça pourrait être les enfants du quartier.	Conversations	Dialogue	DialogueQA	Non
Pourquoi, qu'est-ce qui vous amène à ce soupçon ?	Eh bien, à côté du verre brisé, il y avait une balle de baseball.	Conversations	Dialogue	DialogueQA	Non
Bonjour. Que puis-je faire pour vous aujourd'hui ?	La fenêtre de mon salon est cassée.	Conversations	Dialogue	DialogueQA	Non
Vous êtes sérieux ?	non	Conversations	Dialogue	DialogueQA	Non
Vous connaissez l'un d'entre eux ?	Non, je n'ai pas fait attention à qui ils étaient.	Conversations	Dialogue	DialogueQA	Non
Que puis-je faire pour vous ?	Il est arrivé quelque chose à ma fenêtre. Elle est cassée.	Conversations	Dialogue	DialogueQA	Non
Et si j'appelais un de mes amis qui est réparateur ?	Ce n'est pas un problème. Je passe tout de suite pour voir les dégâts.	Conversations	Dialogue	DialogueQA	Non
Comment puis-je vous aider ?	Ma fenêtre qui donne sur le terrain vague est cassée.	Conversations	Dialogue	DialogueQA	Non
Bonjour	comment puis-je vous aider ?	Conversations	Dialogue	DialogueQA	Non
Bonjour	hello, comment puis-je vous aider ?	Conversations	Dialogue	DialogueQA	Non
Bonjour	Greetings, comment puis-je vous aider ?	Conversations	Dialogue	DialogueQA	Non
Pouvez-vous me dire pour quelle carte de crédit c'était ?	C'était pour ma Master Card.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce que je suis censé faire pour ma facture alors ?	Vous devriez peut-être appeler votre bureau de poste.	Conversations	Dialogue	DialogueQA	Non
Puis-je obtenir un délai supplémentaire pour le paiement de ma facture ?	Oui, mais vous devrez nous envoyer la preuve de leur erreur.	Conversations	Dialogue	DialogueQA	Non
Merci beaucoup pour votre aide.	Profitez du reste de votre journée.	Conversations	Dialogue	DialogueQA	Non
Que vais-je faire puisque je n'ai pas reçu la facture ?	Si vous ne l'avez pas encore reçue, vous devriez probablement vous adresser à votre bureau de poste.	Conversations	Dialogue	DialogueQA	Non
Merci pour votre aide	Nice. Passez une bonne journée.	Conversations	Dialogue	DialogueQA	Non
Heureux de vous aider	Vous êtes les bienvenus	Conversations	Dialogue	DialogueQA	Non
Merci	Bienvenue	Conversations	Dialogue	DialogueQA	Non
Merci beaucoup	De rien	Conversations	Dialogue	DialogueQA	Non
Bonsoir.	Bonsoir.	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce que tu fais ?	Je discute avec vous. Dites-moi quelle est votre question ?	Conversations	Dialogue	DialogueQA	Non
Qu'est-ce qu'il y a ?	J'ai toujours mal à la tête. Je ne me sens jamais frais.	Conversations	Dialogue	DialogueQA	Non
Faites-vous de l'exercice ?	Non. Je ne trouve pas le temps.	Conversations	Dialogue	DialogueQA	Non
Au revoir.	Au revoir.	Conversations	Dialogue	DialogueQA	Non
Bonjour, comment puis-je vous aider aujourd'hui ?	Bonjour. Je voudrais augmenter mes données Internet.	Conversations	Dialogue	DialogueQA	Non
Je serai heureux de vous aider.	Merci.	Conversations	Dialogue	DialogueQA	Non
Quel est votre numéro de compte ?	Je n'ai pas mon numéro de compte sur moi, mais mon numéro de téléphone est le 310-865-9274.	Conversations	Dialogue	DialogueQA	Non
Très bien, je vois que vous utilisez notre service de téléphonie mobile.	Oui. J'ai aussi une ligne fixe.	Conversations	Dialogue	DialogueQA	Non
Que comprend ce nouveau service ?	Il rend la connexion Internet deux fois plus rapide.	Conversations	Dialogue	DialogueQA	Non
Ici le support technique, comment puis-je vous aider ?	J'ai des problèmes avec mon service Internet.	Conversations	Dialogue	DialogueQA	Non
Quel semble être le problème ?	Aucun de mes appareils sans fil ne se connecte au Wi-Fi.	Conversations	Dialogue	DialogueQA	Non
Avez-vous essayé de déconnecter et de reconnecter le modem ?	Non, comment faire ?	Conversations	Dialogue	DialogueQA	Non
Est-ce que toutes les lumières sont revenues sur le modem ?	Oui, ils sont tous verts !	Conversations	Dialogue	DialogueQA	Non
Bonjour, c'est bien la résidence des Smith ?	Bonjour, comment puis-je vous aider aujourd'hui ?	Conversations	Dialogue	DialogueQA	Non
Je suis très mécontent de la qualité de votre service.	Je suis désolé, quel semble être le problème ?	Conversations	Dialogue	DialogueQA	Non
Mon service Internet n'a pas fonctionné pendant trois jours.	Mes dossiers indiquent qu'un technicien a visité votre région hier ?	Conversations	Dialogue	DialogueQA	Non
Oui, il a installé un nouveau modem.	Cela a-t-il résolu le problème ?	Conversations	Dialogue	DialogueQA	Non
Oui, mais j'ai été surfacturé pour le service Internet.	Désolé pour ça.	Conversations	Dialogue	DialogueQA	Non
On m'a vendu un service sans fil indisponible dans ma région.	Je le vois ici, on vous a fait payer 5 $ de plus par mois.	Conversations	Dialogue	DialogueQA	Non
Comment puis-je vous aider ?	Mon ordinateur ne me permet pas d'exécuter JavaScript.	Conversations	Dialogue	DialogueQA	Non
Ça peut être facilement réparé.	J'ai essayé de le faire moi-même, mais rien n'a fonctionné.	Conversations	Dialogue	DialogueQA	Non
Bonjour ? Je voudrais prendre un rendez-vous.	Bonjour ! A quelle heure voulez-vous venir ?	Conversations	Dialogue	DialogueQA	Non
Je peux avoir votre nom ?	Je m'appelle Sarah.	Conversations	Dialogue	DialogueQA	Non
D'accord, merci !	A bientôt !	Conversations	Dialogue	DialogueQA	Non
Je n'ai pas de linge propre pour demain !	Eh bien, tu devrais faire ta lessive alors.	Conversations	Dialogue	DialogueQA	Non
Vous avez de la monnaie ?	Oui. J'en ai assez pour le lave-linge et le sèche-linge.	Conversations	Dialogue	DialogueQA	Non
Très bien, alors, allons-y.	Ça va prendre une éternité.	Conversations	Dialogue	DialogueQA	Non
Combien de temps dois-je les mettre ?	Mettez-les à feu doux pendant trente minutes.	Conversations	Dialogue	DialogueQA	Non
Pourquoi une faible chaleur ?	Si l'air est trop chaud, les vêtements vont rétrécir.	Conversations	Dialogue	DialogueQA	Non
L'eau chaude les fait-elle pâlir ?	Oui. Mettez le détergent ici, et n'utilisez pas d'eau de Javel.	Conversations	Dialogue	DialogueQA	Non
Excusez-moi, je peux vous emprunter votre adoucissant ?	Bien sûr, prenez-en autant que vous voulez.	Conversations	Dialogue	DialogueQA	Non
Merci. Vous êtes très gentil.	Ce n'est pas un problème du tout.	Conversations	Dialogue	DialogueQA	Non
J'aime l'odeur subtile de cette marque	Moi aussi, elle n'est pas surpuissante ou forte.	Conversations	Dialogue	DialogueQA	Non
Bonjour, est-ce la résidence des Smith ?	Sarah ! Dépêche-toi et sors du lit !	Conversations	Dialogue	DialogueQA	Non
Pourquoi je le fais tous les matins ?	Si tu ne sors pas du lit, tu arriveras en retard à l'école.	Conversations	Dialogue	DialogueQA	Non
Comment est-ce que ce n'est pas si mal ?	Le sommeil est bon pour la croissance des enfants.	Conversations	Dialogue	DialogueQA	Non
Bonjour, est-ce que c'est M. Smith ? Je suis Mme Jones.	Bonjour, Mme Jones. Vous avez eu mon message ?	Conversations	Dialogue	DialogueQA	Non
Quel est le but exact de cette réunion ?	Je voulais juste vous dire que James va très bien.	Conversations	Dialogue	DialogueQA	Non
Et l'histoire ?	Seulement les parties sur Woodstock.	Conversations	Dialogue	DialogueQA	Non
Bonjour, c'est bien la résidence des Smith ?	Les enfants, c'est l'heure d'aller au lit !	Conversations	Dialogue	DialogueQA	Non
Mais on n'a pas encore sommeil !	Si vous vous mettez au lit tout de suite, je vais vous lire un conte de fées.	Conversations	Dialogue	DialogueQA	Non
Pourquoi écoute-t-on les contes de fées avant de se coucher ?	Pour que la magie des histoires puisse se développer pendant que tu dors.	Conversations	Dialogue	DialogueQA	Non
Bonjour, c'est bien la résidence Smith ?	David ! Nettoie ta chambre, c'est sale !	Conversations	Dialogue	DialogueQA	Non
Tu n'as pas honte ?	De quoi devrais-je avoir honte ?	Conversations	Dialogue	DialogueQA	Non
Il y a des vêtements partout sur le sol !	C'est juste plus facile de les laisser là.	Conversations	Dialogue	DialogueQA	Non
Je crois que ces chiots ont faim !	Ils n'ont fait que jouer toute la journée.	Conversations	Dialogue	DialogueQA	Non
Tu crois qu'ils sont assez vieux pour manger des croquettes ?	Ils ont six semaines, je pense qu'ils sont assez grands.	Conversations	Dialogue	DialogueQA	Non
Regardez ! Ils s'enfoncent dans le sol !	Maintenant ils s'installent pour une sieste.	Conversations	Dialogue	DialogueQA	Non
Entre les empêcher de mâcher des choses et le nettoyage, c'est une corvée.	Oui, ils le sont. Mais regardez comme ils sont mignons quand ils dorment !	Conversations	Dialogue	DialogueQA	Non
Soudainement, les corvées ne me dérangent plus autant.	Ouais, moi non plus.	Conversations	Dialogue	DialogueQA	Non
Ces chiots en valent vraiment la peine.	je ne perdrais pas une seule minute avec eux	Conversations	Dialogue	DialogueQA	Non
Bonjour, c'est bien la résidence Smith ?	oui	Conversations	Dialogue	DialogueQA	Non
Qu'y a-t-il pour le dîner ?	C'est moi qui devrais te demander ça.	Conversations	Dialogue	DialogueQA	Non
Pourquoi tu dis ça ?	Tu es assez grand pour préparer le dîner.	Conversations	Dialogue	DialogueQA	Non
Tu veux dire que c'est mon tour maintenant ?	En fait, c'est exactement ce que je suis en train de dire.	Conversations	Dialogue	DialogueQA	Non
Que voulez-vous manger, alors ?	J'ai envie de spaghettis, de pain et même de salade.	Conversations	Dialogue	DialogueQA	Non
Tu sais cuisiner au moins ?	Bien sûr que je sais cuisiner ! J'ai choisi de ne pas le faire.	Conversations	Dialogue	DialogueQA	Non
Bonjour, comment allez-vous ?	Je vais très bien, et vous ?	Conversations	Dialogue	DialogueQA	Non
J'ai été mieux, je suis complètement débordé de travail.	Je connais ce sentiment.	Conversations	Dialogue	DialogueQA	Non
Comment vont les enfants ?	Ils vont bien. L'aîné est sur le point d'être diplômé du lycée.	Conversations	Dialogue	DialogueQA	Non
Tu te moques de moi ! C'est génial, mec.	Le plus jeune va bientôt entrer au collège.	Conversations	Dialogue	DialogueQA	Non
Mon fils est sur le point de commencer le collège aussi.	Hé, peut-être qu'ils seront camarades de classe.	Conversations	Dialogue	DialogueQA	Non
Bonjour. Comment allez-vous aujourd'hui ?	Je vais très bien. Et vous ?	Conversations	Dialogue	DialogueQA	Non
C'est génial ! Je vais bien, mais je me sens un peu malade.	Ce n'est pas bon. J'ai entendu dire qu'il y avait une grippe dans le coin.	Conversations	Dialogue	DialogueQA	Non
Eh bien, je dois m'assurer de prendre soin de moi.	Ça craint que tu ne te sentes pas bien, mais c'est une belle journée.	Conversations	Dialogue	DialogueQA	Non
Le soleil me donne envie d'aller à la plage.	C'est une excellente idée, mais je pense que tu seras plus malade si tu y vas.	Conversations	Dialogue	DialogueQA	Non
On peut y aller une autre fois ?	Oui, bien sûr.	Conversations	Dialogue	DialogueQA	Non
Ça semble être un bon plan. Je te parle plus tard.	Cool, à plus tard.	Conversations	Dialogue	DialogueQA	Non
Tout va mal aujourd'hui.	Au moins, le temps est agréable.	Conversations	Dialogue	DialogueQA	Non
Oui, j'aime quand le soleil brille, mais qu'il ne fait pas trop chaud.	Moi aussi.	Conversations	Dialogue	DialogueQA	Non
Ce temps est plutôt agréable.	Je suppose que tout ira bien à la fin.	Conversations	Dialogue	DialogueQA	Non
Donc tout ce dont tu avais besoin était un peu de soleil.	Ouais, je suppose que tu avais raison pour une fois.	Conversations	Dialogue	DialogueQA	Non
Hé, j'ai toujours raison	Vite ! Entre là-dedans et attends la tempête !	Conversations	Dialogue	DialogueQA	Non
Oh, mon dieu	Il pleut des chats et des chiens dehors.	Conversations	Dialogue	DialogueQA	Non
Plutôt des lions et des loups	Je regardais les infos.	Conversations	Dialogue	DialogueQA	Non
Qu'ont-ils dit ?	Ça va être une sacrée tempête.	Conversations	Dialogue	DialogueQA	Non
Devrions-nous être inquiets ?	Je ne pense pas.	Conversations	Dialogue	DialogueQA	Non
Vrai, et bien, merci de m'avoir sauvé de cette tempête.	Pas de problème. Je fais du thé.	Conversations	Dialogue	DialogueQA	Non
Vous en voulez ?	S'il vous plaît, quelque chose de chaud serait parfait en ce moment !	Conversations	Dialogue	DialogueQA	Non
Il paraît qu'il va pleuvoir.	Où as-tu entendu ça ?	Conversations	Dialogue	DialogueQA	Non
Le météorologue a dit qu'il y a une forte probabilité de pluie.	Depuis quand regardez-vous les informations ?	Conversations	Dialogue	DialogueQA	Non
J'ai toujours regardé les infos.	Qu'ont-ils dit d'autre sur le week-end ?	Conversations	Dialogue	DialogueQA	Non
Je crois qu'ils ont dit qu'il allait pleuvoir tout le week-end.	Pendant tout le week-end ?	Conversations	Dialogue	DialogueQA	Non
Ne tirez pas sur ma chaîne.	Je ne le suis pas.	Conversations	Dialogue	DialogueQA	Non
Ok, fais comme tu veux	Je ne le ferai pas.	Conversations	Dialogue	DialogueQA	Non
Je préfère me mouiller que de t'écouter.	Pourquoi ne réponds-tu jamais à ton téléphone ?	Conversations	Dialogue	DialogueQA	Non
Je suis habituellement occupé. Quoi de neuf ?	Je voulais voir si tu étais prêt à te battre.	Conversations	Dialogue	DialogueQA	Non
Où voulez-vous aller ?	Allons prendre un verre au bar où nous sommes allés la semaine dernière.	Conversations	Dialogue	DialogueQA	Non
Ok, mais je n'ai assez que pour trois bières.	C'est bon. Je vais payer pour le reste.	Conversations	Dialogue	DialogueQA	Non
J'ai payé pour toi la dernière fois. Tu me le dois !	Alors, on peut dire qu'on est quittes.	Conversations	Dialogue	DialogueQA	Non
Où est-ce qu'on se retrouve ?	Pourquoi pas à la gare, près du bar ?	Conversations	Dialogue	DialogueQA	Non
Ça a l'air bien. Je te vois dans une heure.	Super. A plus tard.	Conversations	Dialogue	DialogueQA	Non
J'ai oublié de te dire, je sors avec Sarah.	Laquelle est Sarah ?	Conversations	Dialogue	DialogueQA	Non
Tu sors avec tellement de filles que je m'y perds.	D'abord, je ne sors pas avec des filles.	Conversations	Dialogue	DialogueQA	Non
Alors, c'est laquelle ?	Quelle fille ?	Conversations	Dialogue	DialogueQA	Non
La mignonne. Tu sais, celle qui a un tatouage sur la cuisse ?	Je pense que je l'aurais remarqué.	Conversations	Dialogue	DialogueQA	Non
Elle est la seule à avoir des cheveux blonds.	Bien.	Conversations	Dialogue	DialogueQA	Non
Je sais que tu la regardes, je suppose que tu as vu le tatouage.	Je ne suis pas un si grand pervers.	Conversations	Dialogue	DialogueQA	Non
J'ai une nouvelle collègue au travail, elle est jolie.	Ah, oui ?	Conversations	Dialogue	DialogueQA	Non
Elle est plus jolie que ton ex-copine ?	Oui, elle l'est.	Conversations	Dialogue	DialogueQA	Non
Elle est grande, mince, et porte des lunettes.	C'est quoi ton problème avec les filles à lunettes ?	Conversations	Dialogue	DialogueQA	Non
Tu sais quoi ? Je ne sais pas.	Eh bien, parlez-moi d'elle.	Conversations	Dialogue	DialogueQA	Non
Elle aime la musique. Elle porte toujours des t-shirts de groupes.	Vraiment ? Y a-t-il des groupes que tu aimes ?	Conversations	Dialogue	DialogueQA	Non
Oui, en fait, beaucoup d'entre eux le sont.	Comment se comporte-t-elle ?	Conversations	Dialogue	DialogueQA	Non
Elle est gentille ?	Elle l'est.	Conversations	Dialogue	DialogueQA	Non
J'ai fait tomber mon portefeuille, et je ne l'ai pas remarqué. Elle me l'a pris.	Demande-lui de sortir demain, ou quelqu'un le fera.	Conversations	Dialogue	DialogueQA	Non
J'ai entendu dire que votre frère était à l'hôpital.	Oui, il y est depuis la semaine dernière.	Conversations	Dialogue	DialogueQA	Non
Que s'est-il passé ?	Est-ce qu'il va bien ?	Conversations	Dialogue	DialogueQA	Non
Les médecins vous ont dit qu'il irait bien ?	Oui, mais ils doivent le garder pour d'autres tests.	Conversations	Dialogue	DialogueQA	Non
