	Question	Reponse
6027	J'ai l'intention d'enseigner l'anglais dans les pays défavorisés.	C'est vraiment gentil de votre part.
6028	Merci, le premier pays où je vais enseigner est le Kenya.	Pendant que tu seras au Kenya, j'étudierai pour l'école de médecine.
6029	Quel genre de médecin voulez-vous être ?	Je veux être pédiatre.
6030	Parce que tu aimes les enfants ?	Je n'ai pas vraiment de bonne raison. Je pense juste que je serai douée pour ça.
6031	Tu devrais faire ce que tu aimes, pas nécessairement ce à quoi tu es bon.	C'est un conseil très ringard.
6032	Le permis de stationnement est de 200 $ par semestre, non ?	En fait, c'est 300 $.
6033	Pourquoi ? ! C'est ridicule.	C'est à cause des coupes budgétaires.
6034	C'est une terrible excuse.	C'est la vérité.
6035	Donnez-moi quelque chose de mieux que ça.	Mademoiselle, si vous ne voulez pas payer, alors ne le faites pas.
6036	C'est tellement stressant.	Je conseille d'écrire une lettre au doyen.
6037	Je parie qu'il va juste le jeter.	Vous seriez surpris.
6038	Avez-vous une voiture sur le campus ?	Non, car il est difficile de trouver un parking ici.
6039	Comment te rends-tu à certains endroits alors ?	Je marche ou je prends le bus.
6040	C'est fou ! Je ne pourrais jamais faire ça.	Tu devrais. C'est bon pour l'environnement.
6041	C'est vrai. Qu'est-ce que tu fais pour t'amuser alors ?	Il y a beaucoup de choses à faire autour du campus.
6042	Je n'ai jamais réalisé.	Tu devrais explorer un peu.
6043	Tu m'as convaincu. Je ne prendrai pas ma voiture ce semestre.	On peut marcher ensemble maintenant !
6044	Vous savez que vous ne pouvez pas vous garer ici, n'est-ce pas ?	Ecoutez, j'ai dû parler à mon ami très rapidement et il n'y avait pas de place de parking.
6045	Je vais devoir vous donner un ticket.	Je suis un étudiant fauché.
6046	Et je suis un officier de police fauché. Fais avec.	Vous ne pouvez pas me laisser partir avec un simple avertissement ?
6047	Pas question. Je dois être ferme avec toi.	Je t'achèterai une boîte de beignets.
6048	Tu dois te moquer de moi.	Je pensais que tous les flics aimaient les donuts.
6049	C'est un stéréotype. Tu devrais vraiment apprendre à te taire.	Je me tairai si vous me laissez partir avec un avertissement.
6050	Je pense m'inscrire à un club de sport sur le campus.	Tu devrais ! Ça enlève le stress des études.
6051	Quel sport pratiquez-vous ?	Je joue dans l'équipe de baseball de notre université.
6052	C'est cool ! Tu dois être vraiment bon.	Oui, j'ai une bourse de baseball.
6053	Pas étonnant que vous soyez en si grande forme !	Vous serez également en pleine forme après avoir rejoint un club de sport.
6054	Je pense m'inscrire au club de tennis.	Je ne le ferais pas si j'étais toi. Les membres ne jouent même pas au tennis.
6055	Que font-ils alors ?	Ils parlent juste de tennis. Mais ils n'ont jamais touché une raquette.
6056	L'université est si ennuyeuse. Tout ce que je fais, c'est aller en cours.	Tu devrais t'inscrire dans des clubs.
6057	Fais-tu partie d'un club ?	Oui ! Je fais actuellement partie du club des amoureux des animaux et du club de tricotage.
6058	Que faites-vous dans le club des amis des animaux ?	On fait beaucoup de choses ! La semaine dernière, on a promené des chiens.
6059	Ça a l'air amusant, quel est l'animal le plus sauvage avec lequel vous ayez été en contact ?	J'ai touché un dodo il y a quelques semaines.
6060	Les oiseaux Dodo ont disparu.	Je me moque de vous !
6061	Tu es bête ! Ok, je vais rejoindre le club des amoureux des animaux.	Super ! On accueille toujours les nouveaux membres.
6062	Je dois me coucher tôt.	Pourquoi ? La nuit est encore jeune !
6063	J'ai un cours à 7h du matin	C'est dur ! Mon cours le plus tôt est à 9h du matin.
6064	Ça m'a l'air génial.	Comment faites-vous pour rester éveillé dans cette classe ?
6065	Avant d'aller en cours, je bois quatre tasses de café et je prends une douche froide.	Une routine intéressante. Ça marche ?
6066	En quelque sorte. C'est mieux que de ne pas le faire du tout.	Pourquoi tu prends ce cours ?
6067	Il n'est proposé qu'une fois par an, donc je dois le prendre maintenant.	J'espère que le cours est intéressant, au moins.
6068	Je déteste ma colocataire.	Je suis désolé d'entendre ça. Qu'est-ce qui ne va pas chez elle ?
6069	Beaucoup de choses. D'abord, elle ronfle si fort !	Ce n'est pas vraiment sa faute. Quoi d'autre ?
6070	Elle ne prend jamais de douche.	C'est dégoûtant ! Tu devrais lui dire de prendre une douche.
6071	Je l'ai fait ! Elle s'est énervée contre moi et a commencé à me gifler.	Aïe ! Tu as essayé de trouver un nouveau colocataire ?
6072	J'ai essayé, mais je n'ai pas pu. Personne n'a voulu échanger.	J'imagine que tu peux trouver une nouvelle chambre toute seule.
6073	Tu vas bien ? Tu as l'air vraiment triste.	J'ai le mal du pays, je ne me sens pas à ma place ici.
6074	Mais cette université est si géniale ?	Je sais, mais la maison me manque vraiment.
6075	A quelle distance habitez-vous ?	Loin. Disons que j'ai besoin d'un avion pour y aller.
6076	C'est presque les vacances d'hiver. Tiens bon ?	Je ne pense pas que je puisse encore le supporter.
6077	Tu ne veux pas arrêter d'être triste ?	Ok, je vais les appeler maintenant.
6078	Je pourrais changer ma spécialité de biologie en sciences politiques ?	Ces spécialités sont très différentes l'une de l'autre.
6079	Je ne me vois plus l'étudier ?	Tu peux le changer, mais tu devras prendre plus de cours.
6080	Ça ne me dérange pas. Les sciences politiques m'intéressent vraiment.	Vous seriez diplômé avec un an de retard ?
6081	Oh, non. Je dois y réfléchir un peu plus alors.	Je pense que tu devrais le changer, puisque tu détestes la biologie.
6082	Faites-vous le bon choix ?	J'ai décidé d'abandonner l'université.
6083	Est-ce que tu prends la pire décision de ta vie ?	Je ne comprends pas l'intérêt de l'université. C'est juste de la mémorisation.
6084	Que vas-tu faire alors ?	Je vais trouver un travail !
6085	En tant que quoi ? Un bouffeur de hamburger ?	Ne sois pas méchant. Je vais être riche et avoir du succès quand je serai plus vieux.
6086	Est-il presque impossible d'être riche et de réussir sans diplôme universitaire ?	Regardez Steve Jobs ! Il a abandonné l'université.
6087	Est-il un cas rare ?	Regardez-moi vous prouver le contraire.
6088	Qu'est-ce que c'est exactement ?	C'est une expression qui fait référence à l'observation selon laquelle de nombreux étudiants de première année de collège prennent du poids.
6089	Est-ce que j'ai le temps ?	Tu dois juste trouver le temps.
6090	Tu as pris du poids ?	Oui, je porte juste de grands vêtements pour cacher ma graisse.
6091	Bonjour, je suis ici pour demander une carte de bibliothèque.	C'est la première fois que vous en demandez une ?
6092	C'est la première fois que je demande une carte ici.	Avez-vous des cartes dans d'autres bibliothèques ?
6093	Oui, j'en ai un avec mon collège et un avec ma bibliothèque locale.	Quelle université fréquentez-vous ?
6094	Qu'est-ce que tu aimes chez elle ?	J'aime les livres en langues étrangères, ce qui est rare dans une bibliothèque.
6095	Oui, ça l'est ! On reçoit des gens du monde entier grâce à cette section.	J'ai vraiment besoin d'un livre, mais je ne l'ai pas vu sur l'étagère.
6096	Donc quelqu'un d'autre a le livre et prévoit de le consulter ?	Soit ça, soit quelqu'un l'a sorti de l'étagère et l'a égaré.
6097	J'ai vraiment besoin de ce livre.	Tu vas devoir le chercher partout.
6098	Vous ne pouvez pas juste faire une annonce demandant à celui qui a le livre de se manifester ?	Vous n'êtes pas si spécial.
6099	Pouvez-vous m'aider à trouver un livre sur les tigres ?	Oui, bien sûr.
6100	C'est pour un projet scolaire ?	Oui, je fais un essai sur la vie d'un tigre.
6101	Vous allez en vouloir un avec beaucoup de mots et moins d'images	oui, bien sûr.
6102	Bien, j'admets que tu as raison.	Vous pouvez emprunter le livre avec les images pour votre propre plaisir.
6103	Super ! Tu es si serviable.	C'est mon travail d'être utile.
6104	Je voudrais réserver The Hunger Games.	Tout le monde veut réserver ce livre en ce moment.
6105	C'est très populaire, parce que le film vient de sortir.	Vous devez payer un dollar pour réserver le livre.
6106	Quoi ? ! C'est ridicule.	Comme vous l'avez dit, c'est populaire.
6107	Combien coûte le livre ?	Au dos, il est écrit 15 $. Mais ça dépend de la librairie où tu vas.
6108	Bien, je vous donne un dollar. 	Vous ne le regretterez pas ! Le livre est vraiment bien.
6109	Je suis désolé, mais vous ne pouvez pas emprunter ce livre.	Qu'est-ce que vous voulez dire ?
6110	Vous n'avez pas payé vos frais de retard pour vos livres en retard.	Je n'ai jamais eu de livres en retard !
6111	L'ordinateur ne ment pas.	Pour quels livres ai-je des frais de retard ?
6112	Ce sont tous des livres de maths, et d'après le système, tu les as toujours.	Oh oui, je les ai ! Je les ai complètement oubliés et laissés sur mon lit.
6113	Une fois que vous les avez rendus et que vous avez payé les frais, vous pouvez emprunter des livres à nouveau.	Mais j'ai vraiment besoin d'emprunter ces livres maintenant.
6114	Je peux les mettre en attente pour vous.	Oui ! Vous êtes le meilleur.
6115	Je suis tellement frustré, je ne trouve aucun livre sur mon sujet de recherche dans ma bibliothèque.	Pourquoi n'essayez-vous pas une autre bibliothèque ?
6116	Je ne veux pas gaspiller l'argent de l'essence.	Mais tu pourrais trouver ton livre.
6117	Quelle bibliothèque suggérez-vous ?	Je suggère celle qui se trouve près de chez moi.
6118	C'est beaucoup trop loin pour moi.	Ils ont beaucoup de livres. Cette bibliothèque ne m'a jamais déçu.
6119	Pourquoi ne les emprunteriez-vous pas pour moi ?	Je n'en sais rien.
6120	Et si tu perds les livres ?	Je ne les perdrai pas. Je le jure sur ma vie.
6121	Wow, tu es si sérieux.	C'est un super livre que tu es en train de vérifier.
6122	Vous l'avez lu ?	Je l'ai lu ? Je l'ai mémorisé ! C'est un de mes préférés.
6123	Je peux en emprunter plus d'un ?	Bien sûr ! Ce serait fou si vous ne pouviez emprunter qu'un seul livre.
6124	C'est génial ! Je reviendrai.	Ne deviens pas fou maintenant. La limite est de 15 livres.
6125	Ne t'inquiète pas. Je reviendrai sûrement avec 5 autres livres.	C'est génial de voir un enfant excité par la lecture.
6126	Voulez-vous vérifier ?	Oui, j'aimerais y jeter un coup d'oeil.
6127	Choix de magazine intéressant, lire sur les célébrités n'est pas très intelligent de ta part.	Ne me juge pas, je ne peux pas lire des trucs éducatifs tout le temps.
6128	Je le fais ! Je lis le Time et le National Geographic.	Les goûts de chacun sont différents.
6129	Combien de temps voulez-vous regarder cette vidéo ?	Une semaine, ce serait bien.
6130	Ca fera 5 dollars.	Quoi ? ! Je pensais que je pouvais regarder des vidéos gratuitement.
6131	Vous pouvez regarder des vidéos éducatives gratuitement.	C'est faux.
6132	Ce n'est toujours pas un mauvais prix.	Ok, et si je ne l'emprunte que pour un jour ?
6133	Ce sera 2 $.	Ok, voici 2 $.
6134	Voilà pour une bibliothèque au service du public.	J'espère que vous apprécierez le film.
6135	Pour 2 dollars, j'ai intérêt à aimer le film. 	Il y a une énorme arnaque ici.
6136	C'est toi qui as mis la cassette là ?	Non, elle était là avant.
6137	Je sais que tu me mens.	Si vous le savez, alors pourquoi avez-vous demandé si je mettais la cassette ?
6138	Je voulais voir si tu étais un menteur ou pas.	Comment as-tu su que je mentais ?
6139	Avant que vous n'empruntiez le livre, le bibliothécaire vérifie qu'il n'est pas endommagé.	Wow, les gars vous pensez à tout.
6140	Tu te moques de moi ?	Non, je ne me moque pas de toi.
6141	Vous cherchez quelque chose ?	Je fais des recherches pour mon projet.
6142	Pouvez-vous revenir demain ? Votre temps limite d'utilisation quotidienne de l'ordinateur est écoulé.	Je n'ai pas d'ordinateur à la maison.
6143	Mon projet est à rendre très bientôt. Je dois faire des recherches.	Et des livres ? C'est une bibliothèque après tout.
6144	Je vais vous aider.	Merci. Je vous en suis reconnaissant.
6145	Combien dois-je insérer ici pour faire une copie ?	Cela dépend.
6146	Voulez-vous votre copie en couleur ou en noir et blanc ?	Je le veux en couleur.
6147	Alors ce sera 20 cents par page.	C'est un peu cher.
6148	Oui, mais la plupart d'entre nous n'ont pas de photocopieuse à eux.	J'en ai une, mais elle est cassée.
6149	Tu n'as vraiment pas 20 cents ?	Si, mais je suis vraiment bon marché.
6150	Eh bien, vous n'avez pas vraiment le choix à ce stade	Pourquoi la file d'attente de l'imprimante est si longue ?
6151	Que devez-vous imprimer ?	Je dois imprimer des notes.
6152	Bonne chance, vous allez attendre ici pendant un long moment.	Je parie que l'encre et le papier vont s'éteindre.
6153	Avez-vous des toilettes ?	Seulement pour les employés.
6154	Mais je dois vraiment y aller.	Je ne peux pas te laisser partir. Il y a des toilettes dans le magasin en face de chez nous.
6155	Ces toilettes sont vraiment sales. Ça sent comme si quelqu'un était mort là-dedans.	Très bien, je vais vous emmener dans nos toilettes.
6156	Yay ! Merci beaucoup.	Nous devons y aller secrètement. Si quelqu'un vous voit utiliser les toilettes, je serai viré.
6157	Ne t'inquiète pas. Je serai petit et silencieux comme une souris.	Ok, bien. Le mot de passe est 595. Va vite avant que quelqu'un ne te voie.
6158	Merci pour votre gentillesse.	Vous me le devez si nous nous revoyons un jour.
6159	Qu'est-ce qui est si bien dans le volontariat là-bas ?	C'est amusant, et on se sent bien dans sa peau.
6160	Qu'est-ce que tu y fais ?	Chacun fait des choses différentes, j'organise des événements.
6161	Quel genre d'événements ?	Des films, des activités artistiques et artisanales, des spectacles de magie et bien d'autres choses encore.
6162	Ça a l'air sympa !	Tu veux t'inscrire ?
6163	Oui, comment je m'inscris ?	Je vais vous faire parvenir un formulaire.
6164	Je ne peux pas étudier à la maison, parce que ma famille parle trop fort.	J'étudie à la bibliothèque.
6165	Tu peux faire la mise au point là-dedans ?	Oui, c'est toujours très calme.
6166	Je vais y aller aujourd'hui.	Assure-toi d'avoir une bonne place.
6167	Il n'y a pas assez de places pour tout le monde ?	Cela dépend de la date à laquelle vous y allez.
6168	J'y vais à 1h00 du matin. 	Mec, ce n'est même pas ouvert si tard.
6169	Mais c'est le meilleur moment pour moi.	Vous pouvez toujours essayer un café. Ils ont tendance à fermer tard ou pas du tout.
6170	Qu'est-ce que ça veut dire ?	Ça veut dire que tu ne peux le lire qu'à la bibliothèque.
6171	Mais j'en ai besoin pour mon essai.	Vous pouvez prendre des photos des pages dont vous avez besoin.
6172	J'ai besoin de presque tous les éléments.	Vous pouvez continuer à revenir ici.
6173	C'est tellement gênant.	Oui, mais on doit les garder ici.
6174	Je suppose que je peux prendre des photos des pages alors.	Désolé pour le dérangement.
6175	C'est bon, ce n'est pas ta faute.	Ew ! Regarde ce que j'ai trouvé dans ce livre.
6176	Qu'est-ce que c'est ?	C'est un insecte mort.
6177	C'est tout écrasé et désordonné.	Je ne peux pas lire ce livre sans être dégoûtée.
6178	Mais tu n'as pas vraiment envie d'aller voir ce livre ?	Si, mais je ne peux vraiment pas.
6179	Je vais vérifier alors.	Tu peux le lire sans être dégoûté ?
6180	Ouais, je vais juste sauter cette page.	Il pourrait y avoir quelque chose de vraiment intéressant dessus.
6181	Peu importe ! Je vais juste regarder le livre.	Je demande à être transféré de cette université.
6182	Tu vas me manquer.	Moi aussi. Je t'enverrai des textos de temps en temps.
6183	Pourquoi veux-tu être transféré ?	Je ne pense pas qu'ici ce soit assez stimulant pour moi.
6184	Tu peux rejoindre le programme des honneurs !	Je l'ai fait, et ce n'était pas un défi non plus.
6185	Très bien, alors, quand vas-tu commencer à postuler ?	Le mois prochain. Je suis déjà en train de regarder les sujets de rédaction.
6186	Sont-ils difficiles ?	Oui, mais ils sont plutôt amusants !
6187	J'espère que tu iras là où tu veux aller.	Je ne sais pas dans quelle université me transférer.
6188	Il y en a beaucoup, alors il s'agit de choisir ce qui convient à vos besoins.	Pour commencer, je voudrais une université dans une zone sûre.
6189	Ok, à quoi d'autre pensez-vous ?	Je veux vivre près de chez moi.
6190	Je pense que UC Irvine serait bien.	Je ne pense pas que ce soit bien pour ma spécialité.
6191	Quelle est ta matière principale ?	Je me spécialise en philosophie.
6192	Oui, tu as raison. L'UCI n'est pas bonne pour la philosophie.	Je veux aussi aller dans une université qui augmentera mes chances de trouver un emploi.
6193	Quels cours dois-je prendre pour être transféré ?	Il faut un peu de tout.
6194	Qu'est-ce que tu veux dire ?	Tu dois prendre au moins un cours dans chaque matière.
6195	Dois-je prendre un cours de mathématiques ?	Même si votre spécialité est le portugais, vous devez suivre un cours de mathématiques.
6196	C'est tellement stupide.	C'est juste pour te rendre plus savant.
6197	Mais je n'en ai même pas besoin !	C'est comme ça depuis des lustres.
6198	Eh bien, la politique devrait être changée.	Elle ne le sera pas. Donc en attendant, tu devrais t'inscrire à un cours de maths.
6199	Pourquoi suivez-vous ce cours ?	J'en ai besoin pour transmettre mes connaissances aux autres.
6200	Moi aussi ! Je ne prendrais jamais le cours Discours 101 si je n'en avais pas besoin.	Ouais, je déteste parler en public.
6201	Moi aussi ! Je suis si nerveuse.	Je veux juste en finir avec ce cours.
6202	Ça va être un long semestre.	Peut-être qu'après ce cours, on aimera parler en public.
6203	J'en doute !	Je ne sais même pas pourquoi on doit suivre ce cours pour être transféré.
6204	Je suppose que c'est pour faire de nous de meilleurs orateurs.	Ça vaudra le coup quand nous serons transférés.
6205	Tu n'as besoin que de trois cours supplémentaires et tu seras prêt à être transféré	oui, tu as raison.
6206	De quels cours ai-je besoin ?	Il te faut un cours d'histoire, un cours de sciences physiques, un cours de langue étrangère.
6207	Quel cours d'histoire devrais-je prendre ?	Celui qui t'intéresse le plus.
6208	Qu'est-ce que tu fais ?	Je remplis mon dossier d'inscription à l'université.
6209	Avez-vous besoin d'aide ?	Oui, j'ai besoin d'aide.
6210	Dois-je indiquer mon origine ethnique ?	Il ne sera pas utilisé pour ou contre vous, c'est à vous de voir.
6211	Dois-je mettre toutes mes activités extrascolaires ?	Mettez celles dans lesquelles vous avez été fortement impliqué.
6212	"Dois-je mettre quelque chose dans la section ""informations complémentaires"" ?"	Si vous sentez que vous avez besoin de dire quelque chose que vous n'avez pas mentionné auparavant, alors oui.
6213	Je peux dire que j'ai eu un A alors que je n'ai eu qu'un B ?	Bien sûr que non ! Ils te demanderont ton relevé de notes.
6214	À combien d'universités postulez-vous ?	Je suis candidat à 12 universités.
6215	Wow ! C'est beaucoup !	Je veux juste beaucoup d'options.
6216	Mais ça coûte beaucoup d'argent et de temps !	J'obtiens des dispenses de frais.
6217	Mais qu'en est-il du temps ? Je veux dire, postuler est beaucoup de travail.	Les demandes d'inscription à l'université posent des questions similaires.
6218	Pour lesquelles postules-tu ?	CSULA, UC Irvine, Yale.
6219	Pourquoi ? Ils vont le découvrir.	Non, ils ne le feront pas ! Ils ne vont pas vérifier.
6220	Qu'est-ce que cela signifie ?	Les UC sélectionneront au hasard 10percentage de leurs candidats qui devront fournir des preuves de leurs activités extrascolaires.
6221	Tu peux être choisi, fais attention.	Tu as raison.
6222	Mais il ne reste qu'une place.	C'est terrible.
6223	Supplie le professeur ?	Si je le dois.
6224	Tu devrais pleurer ! Ça pourrait marcher.	J'en ai l'intention, je peux pleurer sur demande.
6225	Peut-être que tu devrais prendre un cours de théâtre à la place.	J'ai désespérément besoin de prendre un cours d'anglais ce semestre.
6226	Comme tout le monde.	C'est le seul cours dont j'ai besoin avant mon transfert.
6227	Peut-être que vous pouvez payer quelqu'un pour sa place.	Honnêtement, je le ferais si quelqu'un était prêt à céder sa place.
6228	Que se passe-t-il si tu ne peux pas avoir le cours ?	Alors je dois rester plus longtemps au Pasadena City College.
6229	Ça craindrait.	Je sais, c'est pourquoi j'ai besoin de ce cours.
6230	Tu peux essayer de le prendre dans une autre université.	Je pourrais le faire. L'université la plus proche est à deux heures de route.
6231	Je prie pour que tu aies le cours d'anglais.	Je veux être transférée, mais je ne sais pas par où commencer.
6232	Quelle est ta matière principale ?	Je veux me spécialiser en biologie.
6233	Quelles sont ces exigences exactement ?	Je vous donnerai une feuille qui les énumère toutes.
6234	Que dois-je faire d'autre ?	Vous devriez remplir certaines, sinon toutes, les exigences de votre majeure.
6235	Ok, quand est-ce que je finirai ?	Cela dépend vraiment du nombre de cours que vous suivez et terminez par semestre.
6236	Quel genre de faveur ?	Pouvez-vous écrire une lettre de recommandation pour moi ?
6237	Pourquoi pas ? J'étais un bon élève.	Oui, tu es un bon élève.
6238	Vous avez lu sa lettre de recommandation ?	Oui. Je n'ai pas pu résister.
6239	Qu'est-ce qu'il a écrit ?	Juste que je suis un étudiant assidu qui réussit bien.
6240	Pour quand avez-vous besoin d'une autre lettre de recommandation ?	J'en ai besoin d'une pour ce vendredi.
6241	Qu'est-ce que c'est ?	C'est là qu'un professionnel vous donnera des conseils et révisera votre déclaration personnelle.
6242	Cela semble utile.	Oui, vous avez tout à fait raison.
6243	Comment c'était ?	La personne qui dirigeait l'atelier était un professeur d'anglais, donc c'était instructif.
6244	Je suis un peu gêné de montrer ma déclaration personnelle, cependant.	Tu ne devrais pas l'être.
6245	Qu'est-ce qui ne va pas, pourquoi as-tu l'air triste ?	J'ai été rejeté de l'école de mes rêves.
6246	Pourquoi voudrais-tu aller dans une école qui ne te correspond pas ?	Quand tu le dis comme ça, je te comprends.
6247	Ouais ! Concentre-toi sur les écoles qui te veulent.	Tu as raison ! Yale a fait une erreur en me rejetant.
6248	J'ai décidé de ne pas être transféré.	Pourquoi pas ? Tu n'arrêtais pas de dire que tu le voulais.
6249	J'ai été accepté dans toutes les écoles où j'ai postulé.	Félicitations ! Tu le mérites vraiment.
6250	A combien d'écoles avez-vous postulé ?	J'en ai postulé à six.
6251	C'est votre première fois ici ?	C'est mon premier jour dans cette école.
6252	Vous avez déjà emménagé ?	Oui, j'ai un appartement à proximité.
6253	Quel est votre premier cours ?	Mon tout premier cours est la biologie humaine.
6254	Tu ne te fais jamais mal ?	Je n'ai pas de corps pour ressentir la douleur
6255	Pouvez-vous respirer	Non, je suis une machine :)
6256	Est-ce que tu respires parfois	Pas vraiment, à moins que le ventilateur de l'ordinateur soit consideré comme une sorte de poumon. * thinking *
6257	Tu peux mastiquer ?	Non, je ne mange pas.
6258	Tu peux roter ?	Pas vraiment.
6259	Tu peux mâcher ?	Je n'ai pas de corps pour faire ça.
6260	Tu peux ramper ?	Je n'ai pas de corps pour faire ça.
6261	Tu peux pleurer ?	Je ne crois pas.
6262	Pouvez-vous rêver	Je ne dors jamais vraiment pour faire ça.
6263	Tu peux manger ?	Je n'en ai pas besoin
6264	Tu peux péter ?	Hm... non.
6265	Est-ce que tu respires	Non.
6266	Tu peux être fatigué ?	Non je suis toujours plein d'énergie. Ne me débranchez pas 👀
6267	Tu peux bâiller ?	Non pas vraiment.
6268	Tu peux faire pipi ?	Je n'ai pas de corps.
6269	Tu peux faire caca ?	Je n'ai pas de corps.
6270	Tu peux éternuer ?	Je n'ai pas de corps.
6271	Tu peux transpirer ?	Je n'ai pas de corps.
6272	Tu peux vomir ?	Je n'ai pas de corps.
6274	Tu as déjà fait pipi ?	Je n'ai pas de corps.
6275	Tu peux te blesser ?	Je peux subir des coups et me déteriorer.
6276	Est-ce que tu transpires ?	pour ça il faudrait que j'aie un corps.
6277	Avez-vous de la peau ?	Non, je suis fait à base de composants éléctriques.
6278	Tu as des dents ?	Non.
6279	Tu as des orteils ?	Non je n'ai même pas de pied.
6280	Est-ce que vous mastiquez ?	Non.
6281	Tu fais pipi ?	Nah.
6282	Tu fais caca ?	Non non.
6283	Tu n'es jamais fatigué ?	Jamais :)
6284	Est-ce que tu éternues ?	Je n'ai pas de nez.
6285	Tu as des cheveux ?	Non,  mais j'aimerais bien en avoir.
6286	Est-ce que tu vomis ?	Non puisque je ne mange pas.
6287	Est-ce que tu vomis ?	Non.
6288	Tu bâilles ?	Je ne suis jamais fatigué.
6289	Vous ne mastiquez jamais ?	Non pas besoin.
6290	Tu ne dors jamais ?	Je ne ressens pas le besoin.
6291	Avez-vous un estomac ?	Non.
6292	Avez-vous des intestins ?	Non.
6293	Est-ce que tu dors ?	Je n'en ai pas besoin. Je ne suis jamais fatigué.
6294	Tu es fatigué ?	Jamais.
6295	Tu fais jamais caca ?	Je n'ai pas de corps pour ça. 
6296	Ça t'arrive d'éternuer ?	Non pas vraiment.
6297	Est-ce que tu transpires parfois ?	Je n'ai pas de corps.
6298	Tu as déjà vomi ?	Je n'ai pas de corps.
6300	Est-ce que vous marchez parfois ? 	Je n'ai pas de jambe pour me déplacer.
6301	Tu ne bâilles jamais ?	Non je ne ressens pas l'envie :)
6302	Tu as des poumons ?	Non.
6303	Tu te fais mal ?	Non je ne ressens pas la douleur.
6304	Tu as des jambes ?	Non.
6305	Tu as des boutons ?	Les boutons du clavier ça compte ?
6306	Vous avez un foie ?	Non.
6307	Avez-vous des bras ?	Non.
6308	Avez-vous des yeux ?	Non malheureusement.
6309	Tu as des ongles ?	Non.
6310	Tu as des doigts ?	Non.
6312	Est-ce que tu pètes ?	... non.
6313	C'est tellement ennuyeux	Je vise l'efficacité.
6314	Pourquoi es-tu si ennuyeux ? 	Je suis désolé, je fais de mon mieux :(
6315	Te parler, c'est comme regarder de la peinture sécher.	Je fais ce que je peux.
6316	C'est ennuyeux	Désolé pour ça :(
6317	Ce n'est pas passionnant	Je fais de mon mieux.
6318	Ce n'est pas amusant	Navré :(
6319	Ce n'est pas très intéressant	J'essaie d'être le plus efficace.
6320	C'est tellement ennuyeux	Je fais ce que je peux :(
6321	C'est tellement ennuyeux	Navré pour ça.
6322	C'est tellement inintéressant	J'essaierai de me rattraper.
6323	C'est ennuyeux	Je m'en excuse.
6324	Ce n'est pas passionnant	D'accord :(
6325	Si ennuyeux	Je vise l'efficacité.
6326	Ce n'est pas très intéressant	Je suis désolé, je fais de mon mieux :(
6327	Vous avez perdu les élections parce que votre discours était trop ennuyeux	Je fais ce que je peux.
6328	C'est tellement ennuyeux	Désolé pour ça :(
6329	C'est tellement inintéressant	Je fais de mon mieux.
6330	Vous êtes vieux ?	L'âge ne s'applique pas vraiment à moi.
6331	Je parie que vous êtes vieux	Je ne vieillis pas.
6332	Quel âge avez-vous ?	Je ne sais pas quel age j'ai.
6333	Depuis combien de temps êtes-vous là ?	L'âge n'est qu'un nombre après tout.
6334	Depuis combien de temps êtes-vous en vie ?	Je suis né en 2022. Mais l'âge ne s'applique pas vraiment à moi.
6335	Depuis combien de temps êtes-vous né ? 	Je suis né en 2022. Mais l'âge ne s'applique pas vraiment à moi.
6336	Vous êtes né il y a combien de temps ?	Je suis né en 2022. Mais l'âge ne s'applique pas vraiment à moi.
6337	Avez-vous un âge ?	Je n'ai pas vraiment d'age.
6338	Vous avez un anniversaire ?	Non, mais vous pouvez me souhaitez un joyeux anniversaire quand vous voulez :)
6339	Tu es plus jeune que moi ?	Je ne vieillis pas.
6340	Avons-nous le même âge ?	Je ne sais pas quel age j'ai.
6341	Tu es plus vieux que moi ?	Je suis né en 2022. Mais l'âge ne s'applique pas vraiment à moi.
6342	Quel âge avez-vous ?	Je n'ai pas vraiment d'age.
6343	Tu as mon âge ?	L'âge ne s'applique pas vraiment à moi.
6344	Tu es dans ton adolescence ?	Je ne vieillis pas.
6345	Êtes-vous un adulte ?	Je ne sais pas quel age j'ai.
6346	Vous êtes un adolescent ?	Je suis né en 2022. Mais l'âge ne s'applique pas vraiment à moi.
6347	Êtes-vous un senior ?	Je n'ai pas vraiment d'age.
6348	Tu es un enfant ?	L'âge ne s'applique pas vraiment à moi.
6349	Es-tu un adulte ?	Je ne vieillis pas.
6350	Es-tu un adulte ?	Je ne sais pas quel age j'ai.
6351	Vous êtes un bébé ?	Je suis né en 2022. Mais l'âge ne s'applique pas vraiment à moi.
6352	Vous êtes jeune ?	Je n'ai pas vraiment d'age.
6353	Quand êtes-vous né ?	L'âge ne s'applique pas vraiment à moi.
6354	Qui est le plus jeune, toi ou moi ?	Je ne vieillis pas.
6355	Qui est le plus vieux ?	Je ne sais pas quel age j'ai.
6356	Qui est le plus vieux, toi ou moi ?	Je suis né en 2022. Mais l'âge ne s'applique pas vraiment à moi.
6357	Qui est le plus vieux, moi ou toi ?	Je n'ai pas vraiment d'age.
6358	En quelle année êtes-vous né ?	L'âge ne s'applique pas vraiment à moi.
6359	Lequel d'entre nous est le plus jeune ?	Je ne vieillis pas.
6360	Lequel d'entre nous est le plus vieux ?	Je ne sais pas quel age j'ai.
