Question	Reponse
nous disons à nos élèves de quitter la classe.	peuvent-ils prendre leurs affaires ?
peuvent-ils prendre leurs affaires ?	oui, s'ils le font rapidement.
oui, s'ils le font rapidement.	où vont les étudiants ?
Où vont les étudiants ?	Ils vont sur le parking nord.
ils sortent sur le parking nord.	Que font les professeurs ?
Que font les enseignants ?	On apporte nos listes sur le parking et on fait l'appel.
on emmène nos listes sur le parking et on fait des tours.	Pourquoi faites-vous ça ?
Pourquoi faites-vous ça ?	nous voulons nous assurer que tous les étudiants sont sortis du bâtiment.
Nous voulons nous assurer que tous les étudiants sont sortis du bâtiment.	Si ils sont tous dehors, alors quoi ?
s'ils sont tous dehors, alors quoi ?	Alors on attend dehors qu'un pompier nous dise de rentrer.
Je dois retourner en haut.	Pourquoi ? Nous sommes déjà en retard.
Pourquoi ? On est déjà en retard.	Je dois vérifier la cuisinière.
Je dois vérifier la cuisinière.	Qu'est-ce qui se passe ?
Qu'est-ce qui se passe ?	J'ai peut-être laissé le brûleur allumé.
J'ai peut-être laissé le brûleur allumé.	Non, tu ne l'as pas fait. J'ai vérifié la cuisinière avant de partir.
Non, tu ne l'as pas fait. J'ai vérifié la cuisinière avant de partir.	Tu es sûr ?
Tu es sûr ?	Bien sûr que j'en suis sûr.
Bien sûr, j'en suis sûr.	Eh bien, je dois retourner en haut de toute façon.
Eh bien, je dois retourner en haut de toute façon.	Il est de plus en plus tard.
Il est de plus en plus tard.	Je crois que j'ai laissé couler l'eau.
Je crois que j'ai laissé l'eau couler.	Non, tu ne l'as pas fait. Allons-y ! La seule chose qui fonctionne est l'horloge !
la ville achète des armes.	Combien paient-ils ?
Qu'est-ce qu'ils paient ?	jusqu'à 200 $ pour chaque arme, sans poser de questions.
jusqu'à 200 dollars pour chaque arme, sans poser de questions.	Pourquoi font-ils ça ?
Pourquoi font-ils ça ?	Ils veulent retirer les armes de la rue.
ils veulent retirer les armes de la rue.	Qui rendrait une arme pour 200 dollars ?
Qui rendrait une arme pour 200 dollars ?	qui n'est pas une bonne affaire ?
ce n'est pas une bonne affaire ?	un bon pistolet coûte 400 $ ou plus.
une bonne arme coûte 400$ ou plus.	Si vous apportez votre reçu, ils vous donneront peut-être 400 $.
Eh bien, si vous apportez votre reçu, ils vous donneront peut-être 400 $.	Je vais garder mon reçu et mon arme.
Je vais garder mon reçu et mon arme.	Je ne savais pas que vous aviez une arme.
Je ne savais pas que tu avais une arme.	Tout le monde en Amérique devrait avoir une arme.
Tu baves.	Je suis sûr que oui.
Je suis sûr que oui.	Tu devrais aller te coucher.
Tu devrais aller te coucher.	Je le ferai dès que j'aurai fini cet article.
Je le ferai dès que j'aurai fini cet article.	Qu'est-ce que tu lis ?
Qu'est-ce que tu lis ?	C'est sur la criminalité à Los Angeles.
C'est sur la criminalité à Los Angeles.	Qu'est-ce que ça dit ?
Qu'est-ce que ça dit ?	Le maire dit que le taux de criminalité est en baisse.
Le maire dit que le taux de criminalité est en baisse.	alors pourquoi tout le monde verrouille-t-il ses portes ?
alors pourquoi tout le monde ferme sa porte à clé ?	Je suppose qu'ils n'ont pas lu cet article.
Je suppose qu'ils n'ont pas lu cet article.	Personne ne croit que le taux de criminalité est en baisse.
personne ne croit que le taux de criminalité diminue.	Peut-être que le maire ne parle que de son propre quartier.
les gens qui vivent en californie sont fous.	Pourquoi ça ?
Pourquoi ça ?	A cause de tous les tremblements de terre et les incendies.
à cause de tous les tremblements de terre et les incendies.	mais les gros tremblements de terre n'arrivent que de temps en temps.
mais les gros tremblements de terre n'arrivent qu'une fois de temps en temps.	Une fois de temps en temps, c'est une fois de trop.
Une fois de temps en temps, c'est une fois de trop.	Mais vous avez raison, il y a beaucoup d'incendies.
Mais tu as raison. Il y a beaucoup d'incendies.	Un récent incendie a détruit 85 maisons.
Un incendie récent a détruit 85 maisons.	C'est quand même plus sûr que la Floride.
Quand même, c'est plus sûr que la Floride.	La Floride n'a pas de tremblements de terre ou d'incendies.
La Floride n'a pas de tremblements de terre ou d'incendies.	Non, la Floride a juste des ouragans chaque année de juin à octobre.
Non, la Floride a juste des ouragans chaque année de juin à octobre.	Mais la plupart de ces ouragans sont inoffensifs.
mais la plupart de ces ouragans sont inoffensifs.	Excusez-moi. L'ouragan Andrew a détruit 30 000 maisons !
Je suis allé en vacances à Hawaii.	Vous avez aimé ?
Tu as aimé ?	J'ai adoré. Je veux vivre là-bas.
J'ai adoré. Je veux y vivre.	Qu'est-ce que tu as aimé ?
Qu'est-ce que tu as aimé ?	L'île est si verte, et l'eau est si bleue.
l'île est si verte, et l'eau est si bleue.	Tu es allé te baigner ?
Tu es allé nager ?	Je suis allé à la plage tous les jours.
Je suis allé à la plage tous les jours.	Comment était le temps ?
comment était le temps ?	il faisait chaud et ensoleillé tous les jours.
il faisait chaud et ensoleillé tous les jours.	Que faisiez-vous le soir ?
Qu'est-ce que tu as fait le soir ?	Le soir, je suis sorti manger. La nourriture était délicieuse.
Le soir, je suis sorti pour manger. La nourriture était délicieuse.	Les gens qui vivent à Hawaii ont de la chance.
J'aime cet hôtel.	Qu'est-ce que vous aimez dans cet hôtel ?
qu'est-ce qui te plaît ?	On a droit à un petit-déjeuner gratuit.
on a droit à un petit-déjeuner gratuit.	café et un petit pain ?
un café et un petit pain ?	non, un vrai petit déjeuner.
Non, un vrai petit-déjeuner.	bacon et œufs ?
du bacon et des œufs ?	avec des toasts, du jambon, des saucisses, des fruits frais et du jus.
avec des toasts, du jambon, des saucisses, des fruits frais et du jus.	wow ! c'est sympa. restons pour deux nuits.
wow ! c'est sympa. restons deux nuits.	et les chambres sont propres, aussi.
et les chambres sont propres, aussi.	Les animaux domestiques sont-ils admis ?
Les animaux domestiques sont-ils admis ?	Pas d'animaux, pas de cigarettes.
Pas d'animaux, pas de cigarettes.	J'aime ça. Restons trois nuits.
Je ne vais pas dormir ici ce soir.	Qu'est-ce qu'il y a ? C'est une belle chambre.
Qu'est-ce qu'il y a ? C'est une belle chambre.	peut-être que la chambre est sympa, mais pas le lit.
peut-être que la chambre est sympa, mais pas le lit.	Qu'est-ce qui ne va pas avec le lit ?
Qu'est-ce qui ne va pas avec le lit ?	Regardez ce drap.
Regarde cette feuille.	oui ?
Oui ?	Vous voyez ces taches ?
Tu vois ces taches ?	Je suis sûr que oui.
Je suis sûr que oui.	Je ne dormirai pas sur ce drap.
Je ne dormirai pas dans ce drap.	Appelez la réception. Ils nous donneront de nouveaux draps.
Eh bien, il suffit d'appeler la réception. Ils nous donneront de nouveaux draps.	Je veux des draps sans taches.
Je veux des draps sans taches.	A partir de maintenant, apportons nos propres draps.
A quelle heure part votre avion ?	Il part à 12h15.
il part à 12h15.	Quand devez-vous être à l'aéroport ?
Quand dois-tu être à l'aéroport ?	Je dois y être deux heures plus tôt.
Je dois y être deux heures plus tôt.	donc nous devons être à l'aéroport à 10h15.
donc nous devons être à l'aéroport à 10h15.	cela signifie que nous devons quitter la maison à 9h15.
ça veut dire qu'on doit quitter la maison à 9h15. 	bien, c'est une heure pour y aller, s'il n'y a pas de problèmes de circulation.
eh bien, il faut une heure pour y aller, s'il n'y a pas de problèmes de circulation.	alors peut-être que nous ferions mieux de partir à 8h15 ?
alors peut-être qu'on devrait partir à 8h15 ?	oui, il vaut mieux arriver trop tôt que trop tard.
oui, il vaut mieux arriver trop tôt que trop tard.	Je suis d'accord.
Je suis d'accord.	On ne sait jamais ce qui peut arriver sur ces autoroutes.
on ne sait jamais ce qui peut arriver sur ces autoroutes.	Il y a au moins un énorme accident par jour.
J'ai besoin d'un vol pour New York.	Quand y allez-vous ?
Quand y allez-vous ?	pendant les vacances de Noël.
pendant les vacances de noël.	vous feriez mieux d'acheter votre billet maintenant.
vous feriez mieux d'acheter votre billet maintenant.	Vous devez plaisanter.
Vous devez plaisanter.	Non, je ne plaisante pas. Nous sommes en mars. Le temps presse. Les places sont vendues dès maintenant.
non, je ne le suis pas. nous sommes en mars. le temps presse. les places sont vendues dès maintenant.	J'ai pensé que j'allais attendre jusqu'en octobre.
Je pensais attendre jusqu'en octobre.	Je parie que c'est la première fois que vous prenez l'avion à Noël.
Je parie que c'est la première fois que vous prenez l'avion à Noël.	Vous avez raison.
Vous avez raison.	Bon, écoutez-moi. Vous devez acheter un billet maintenant.
Eh bien, écoutez-moi. Vous devez acheter un billet maintenant.	mais peut-être que les prix seront moins chers en octobre.
mais peut-être que les prix seront moins chers en octobre.	Les prix plus bas ne vous serviront à rien s'il n'y a pas de places.
Je déteste voler.	Moi aussi.
Moi aussi. 	Il y a longtemps, voler n'était pas un problème.
Il y a longtemps, prendre l'avion n'était pas un problème.	Maintenant, c'est comme prendre le bus.
maintenant c'est comme monter dans un bus.	Tu es coincé avec des gens tout autour de toi.
vous êtes coincé avec des gens tout autour de vous.	La moitié d'entre eux toussent, et l'autre moitié éternue.
la moitié d'entre eux tousse, et l'autre moitié éternue.	vous n'avez pas de place pour les coudes ou les genoux.
vous n'avez pas de place pour les coudes ou les genoux.	les gens se lèvent toujours pour aller aux toilettes.
Les gens se lèvent toujours pour aller aux toilettes.	Les enfants pleurent ou vous grimpent dessus.
les enfants pleurent ou te grimpent dessus.	c'est un zoo volant !
C'est un zoo volant !	J'aimerais pouvoir m'offrir des sièges en première classe.
J'aimerais pouvoir m'offrir des sièges en première classe.	Comme tout le monde, non ?
Un type a traversé l'océan Atlantique à la rame.	Tant mieux pour lui.
C'est bien pour lui.	pourquoi ferait-il ça ?
pourquoi aurait-il fait ça ?	a-t-il établi un nouveau record ?
A-t-il établi un nouveau record ?	Oui, je pense qu'il l'a fait.
Oui, je pense qu'il l'a fait.	Eh bien, je suppose que c'est pour ça qu'il l'a fait.
Eh bien, je suppose que c'est pour ça qu'il l'a fait.	Quel est l'intérêt ?
quel est l'intérêt ?	maintenant il a le record du monde !
maintenant il a le record du monde !	Mais quelqu'un va le battre, alors à quoi bon ?
mais quelqu'un va la casser, alors à quoi bon ?	Eh bien, il peut en profiter tant que ça dure.
Eh bien, il peut en profiter tant que ça dure.	Je ne pense pas qu'il ait été payé pour ça.
Je ne pense même pas qu'il ait été payé pour ça.	Certaines personnes le font juste pour le faire.
Je veux aller sur un bateau de croisière.	Ça a l'air amusant. Où veux-tu aller ?
Ça a l'air sympa. Où veux-tu aller ?	Je veux aller à Hawaii.
Je veux faire une croisière à Hawaii.	Ça devrait être un bon voyage. Beaucoup de plaisir, et beaucoup de nourriture.
Ca devrait être un bon voyage. Beaucoup de plaisir, et beaucoup de nourriture.	Je n'ai aucune idée de combien ça va coûter.
Je n'ai aucune idée de ce que cela va coûter.	Je pense que cela dépend de la saison et de votre cabine.
je pense que ça dépend de la saison et de votre cabine.	Bien sûr, je veux y aller quand il fait beau.
bien, bien sûr que je veux y aller quand il fait beau.	oui, vous ne voulez pas voyager pendant les tempêtes d'hiver.
oui, tu ne veux pas voyager pendant les tempêtes d'hiver.	et je veux avoir une grande cabine avec une vue.
et je veux une grande cabine avec une vue.	Vous allez voyager seul ?
allez-vous voyager seul ?	non, ma sœur et moi allons voyager ensemble.
Non, ma soeur et moi allons voyager ensemble.	bien, vous devriez aller sur Internet et essayer de trouver une bonne affaire.
Je déteste prendre l'avion.	à cause de toute la sécurité ?
à cause de toute la sécurité ?	non, parce que ça me fait mal aux oreilles.
non, parce que ça me fait mal aux oreilles.	Qu'est-ce que tu veux dire ?
qu'est-ce que tu veux dire ?	A chaque fois qu'on atterrit ou qu'on décolle, mes oreilles me font mal.
à chaque fois qu'on atterrit ou qu'on décolle, mes oreilles me font si mal.	C'est juste le changement d'altitude, je pense.
C'est juste le changement d'altitude, je pense.	Quoi que ce soit, ça fait mal.
Peu importe ce que c'est, ça fait mal.	Tu ne peux pas prendre des médicaments ou quelque chose pour ça ?
Vous ne pouvez pas prendre des médicaments ou quelque chose pour ça ?	J'ai tout essayé, mais rien ne marche.
J'ai tout essayé, mais rien ne marche.	Avez-vous essayé les bouchons d'oreille ?
Vous avez essayé les boules Quiès ?	Ils ne marchent pas non plus.
ils ne fonctionnent pas non plus. 	bien, soyez heureux de ne pas être un pilote.
Les vacances de printemps commencent demain.	Tu vas aller quelque part ?
Tu vas aller quelque part ?	Je pensais aller jusqu'en Arizona.
Je pensais aller en Arizona.	Vers le Grand Canyon ?
au grand canyon ?	Oui. Je n'y suis jamais allé.
Oui. Je n'y suis jamais allé.	J'y suis allé quand j'étais petit.
J'y étais quand j'étais petit.	Comment avez-vous trouvé ça ?
comment l'as-tu aimé ?	J'ai adoré. Je me rappelle encore à quel point c'était génial.
J'ai adoré. Je me souviens encore à quel point c'était génial.	Je suis sûr que je vais l'aimer aussi.
Je suis sûr que je vais aimer ça aussi.	Vous devriez essayer de monter une mule sur un sentier jusqu'en bas.
tu devrais essayer de monter une mule sur un sentier qui mène au fond.	Pas question ! Je ne veux pas faire une chute mortelle.
Pas question ! Je ne veux pas faire une chute mortelle.	Ne t'inquiète pas. Une seule personne est tombée d'une mule.
Cet hôtel était terrible.	le pire du monde entier.
le pire du monde entier.	Les murs étaient si fins.
les murs étaient si fins.	Toute la journée, on entendait la télé ou le téléphone.
toute la journée, on entendait la télévision ou le téléphone.	Toute la nuit, on entendait des gens ronfler.
Toute la nuit, nous avons entendu des gens ronfler.	Le service de ménage ne nous a pas donné de serviettes fraîches.
Le service de ménage ne nous a pas donné de serviettes fraîches.	Le service d'étage nous a apporté un dîner froid.
Le service de chambre nous a apporté un dîner froid.	Notre chambre non-fumeur sentait la fumée de cigarette.
notre chambre non-fumeur sentait la fumée de cigarette.	Notre chambre était juste à côté de l'ascenseur et de la machine à glace.
notre chambre était juste à côté de l'ascenseur et de la machine à glace.	Ils ont ajouté des frais bidons à notre facture.
ils ont ajouté des frais fictifs à notre facture.	Comment avons-nous fini dans cet horrible hôtel ?
Comment avons-nous atterri dans cet horrible hôtel ?	L'agent de voyage nous a fait une remise de 50 % !
Je dois raccrocher. J'ai tellement sommeil.	Il n'est même pas 10 heures.
Il n'est même pas 10 heures.	Je suis en train de m'endormir au téléphone.
Je m'endors au téléphone.	Tu t'es levé très tôt.
Tu t'es levé très tôt.	Je devais emmener mon ami à l'aéroport.
J'ai dû emmener mon ami à l'aéroport.	Pourquoi n'avez-vous pas fait une sieste en rentrant chez vous ?
Pourquoi n'as-tu pas fait une sieste en rentrant chez toi ?	Je ne suis rentré qu'il y a 30 minutes.
Je ne suis rentré qu'il y a 30 minutes.	Pourquoi ça ?
pourquoi ça ?	Il y a eu une alerte à la bombe à l'aéroport.
Il y a eu une alerte à la bombe à l'aéroport.	seulement une menace ?
seulement une menace ?	Oui, mais j'étais coincé là toute la journée pendant qu'ils cherchaient la bombe.
Oui, mais j'étais coincé là toute la journée pendant qu'ils cherchaient la bombe.	Un jour, la bombe sera réelle.
mon père est allé à washington, d.c.	pourquoi a-t-il fait ça ?
pourquoi a-t-il fait ça ?	il a été invité, avec environ 90 autres vétérans.
il a été invité, ainsi qu'environ 90 autres vétérans.	qui les a invités ?
qui les a invités ?	Une organisation privée.
une organisation privée.	pourquoi l'ont-ils invité ?
Pourquoi l'ont-ils invité ?	Pour le remercier, lui et tous les autres soldats qui ont servi pendant la Seconde Guerre mondiale.
pour le remercier, lui et tous les autres soldats qui ont servi pendant la seconde guerre mondiale.	C'est très gentil.
C'est très bien.	Mon père a pu voir le magnifique nouveau monument de la Seconde Guerre mondiale.
Mon père a pu voir le magnifique nouveau monument de la seconde guerre mondiale.	Ce voyage a dû coûter beaucoup d'argent.
Ce voyage a dû coûter beaucoup d'argent.	il a dit que tout l'argent provenait de dons privés.
C'était un super voyage à Washington, D.C.	Raconte-moi, papa.
Raconte-moi ça, papa.	Environ 90 vétérans de la Seconde Guerre mondiale ont pris l'avion à 8 heures du matin.
Environ 90 vétérans de la Seconde Guerre mondiale ont pris l'avion à 8 h.	Combien de temps a duré le vol ?
Combien de temps a duré le vol ?	Il n'a duré que deux heures.
Ça n'a pris que deux heures.	avez-vous pris des photos au monument de la seconde guerre mondiale ?
Avez-vous pris des photos au monument de la seconde guerre mondiale ?	Oh, oui. Nous avons tous pris beaucoup de photos.
Oh, oui. Nous avons tous pris beaucoup de photos.	Et vous avez pris l'avion pour rentrer chez vous le soir même ?
Et vous avez pris l'avion pour rentrer chez vous le soir même ?	Oui. Quand nous avons atterri, des journalistes de la télévision et la fanfare de l'armée étaient là.
Oui. Quand nous avons atterri, les journalistes de la télévision et la fanfare de l'armée étaient là.	Cela a dû vous faire sentir vraiment spécial.
Tu as dû te sentir vraiment spéciale.	Oh, oui. Il y avait environ 300 personnes pour nous honorer.
Oh, c'est vrai. Il y avait environ 300 personnes pour nous honorer.	Eh bien, vous le méritez tous. Vous avez aidé à sauver notre pays.
J'ai besoin d'un travail.	Je croyais que tu avais un travail.
Je croyais que tu avais un travail.	J'en avais un.
Je l'ai fait.	Que s'est-il passé ?
Que s'est-il passé ?	J'ai été licencié.
J'ai été licencié.	C'est terrible ! C'est arrivé quand ?
C'est terrible ! C'est arrivé quand ?	J'ai été licencié la semaine dernière.
J'ai été licencié la semaine dernière.	Juste vous ?
juste vous ?	Non, dix de mes collègues ont été licenciés aussi.
Non, dix de mes collègues ont été licenciés aussi.	Qu'est-ce que tu vas faire ?
que vas-tu faire ?	Je cherche un emploi dans le journal.
Je cherche un emploi dans le journal.	Bonne chance !
avant d'aller à cet entretien, vérifiez vous-même.	Qu'y a-t-il à vérifier ?
qu'est-ce qu'il faut vérifier ?	vos ongles sont-ils propres ?
Vos ongles sont-ils propres ?	oui, ils le sont.
Oui, ils le sont.	Avez-vous vérifié votre nez et vos dents ?
as-tu vérifié ton nez et tes dents ?	Ils sont propres, aussi.
elles sont propres, aussi.	tu as ciré tes chaussures ?
Tu as ciré tes chaussures ?	Mes chaussures sont cirées.
mes chaussures sont cirées.	vos chaussettes sont-elles assorties ?
Vos chaussettes sont-elles assorties ?	Bien sûr qu'elles sont assorties.
Bien sûr qu'ils sont assortis.	Non, ils ne le sont pas. L'un est noir et l'autre est bleu foncé.
non, ils ne le font pas. l'un est noir et l'autre est bleu foncé.	Oups ! Merci.
La vie est dure.	C'est sûr.
C'est sûr.	Je pensais que l'école était dure.
Je pensais que l'école était dure.	Moi aussi. J'avais hâte d'avoir mon diplôme.
Moi aussi. J'avais hâte d'avoir mon diplôme.	Mais maintenant, le travail est dur, aussi.
mais maintenant le travail est dur aussi.	Je suis d'accord. Le travail est aussi dur que l'école.
Je suis d'accord. Le travail est aussi dur que l'école.	Parfois, j'aimerais retourner à l'école.
Parfois, j'aimerais retourner à l'école.	Moi aussi. C'était sympa l'école.
Moi aussi. L'école était amusante.	et ça n'a duré que 12 ans.
et ça n'a duré que 12 ans.	Ça a passé assez vite.
ça a passé assez vite.	mais le travail s'éternise !
mais le travail continue pour toujours !	nous devons travailler pendant 30 ans !
J'ai sommeil.	Moi aussi.
Moi aussi. 	J'ai eu une longue journée.
J'ai eu une longue journée.	Moi aussi.
Moi aussi. 	Je n'ai même pas déjeuné.
Je n'ai même pas déjeuné.	Moi non plus.
Moi non plus. 	J'ai été occupé toute la journée.
J'ai été occupé toute la journée.	Moi aussi.
Moi aussi. J'ai dû ramener du travail à la maison avec moi.	J'ai dû ramener du travail à la maison avec moi.
J'ai dû ramener du travail à la maison avec moi.	Je l'ai fait aussi.
Moi aussi.	Votre journée a été comme la mienne.
Votre journée était comme la mienne.	Bien sûr qu'elle l'était. Nous travaillons ensemble !
Je n'aime pas mon travail.	Que faites-vous ?
Que faites-vous ?	Je suis une baby-sitter.
Je suis une baby-sitter.	C'est beaucoup de travail ?
C'est beaucoup de travail ?	Les bébés pleurent tout le temps.
Les bébés pleurent tout le temps.	vous devez changer leurs couches.
tu dois changer leurs couches.	Je dois les nourrir.
Je dois les nourrir.	Vous cherchez un autre emploi ?
Vous cherchez un autre emploi ?	Non, je cherche une autre famille.
Non, je cherche une autre famille.	une autre famille ?
une autre famille ?	une famille avec un seul bébé.
une famille avec un seul bébé.	c'est une bonne idée.
J'ai besoin d'un travail.	Quel était votre dernier emploi ?
Quel était votre dernier travail ?	J'étais peintre.
J'étais un peintre.	Que s'est-il passé ?
Que s'est-il passé ?	J'ai été licencié parce qu'il n'y avait pas de travail.
J'ai été licencié parce qu'il n'y avait pas de travail.	Que pouvez-vous faire d'autre ?
Que savez-vous faire d'autre ?	Je suis un homme à tout faire.
Je suis un homme à tout faire.	comment réparer un robinet qui goutte dans un évier de cuisine ?
Peut-on réparer un robinet qui goutte dans un évier de cuisine ?	Bien sûr.
Bien sûr.	Alors j'ai un travail pour vous dans ma cuisine.
alors j'ai un travail pour vous dans ma cuisine.	Ça ne vous coûtera que 20 $, plus les pièces.
Ca ne vous coûtera que 20 dollars plus les pièces.	D'accord. Ça semble être un prix raisonnable.
Que feriez-vous si vous perdiez votre travail ?	Je n'en ai aucune idée. Je suis ici depuis 20 ans.
Je n'en ai aucune idée. Je suis ici depuis 20 ans.	Avez-vous d'autres compétences ?
Avez-vous d'autres compétences ?	Eh bien, je sais comment retourner les hamburgers.
Eh bien, je sais comment retourner les hamburgers.	Personne ne t'engagerait pour faire des hamburgers.
personne ne vous embaucherait pour faire des hamburgers.	Tu as entendu quelque chose que tu ne me dis pas ?
As-tu entendu quelque chose que tu ne me dis pas ?	Qu'est-ce que tu veux dire ?
Qu'est-ce que tu veux dire ?	Il va y avoir des licenciements dans cet endroit ?
Est-ce qu'il va y avoir des licenciements dans cet endroit ?	J'espère bien que non !
J'espère bien que non !	Si vous étiez licencié, vous feriez aussi des hamburgers.
Si tu étais licencié, tu ferais aussi des hamburgers.	Oh, génial, on pourrait travailler tous les deux au Burger King.
Oh super, on pourrait travailler tous les deux au Burger King.	peut-être qu'on se ferait licencier là-bas aussi.
Vos élèves parlent-ils parfois de leur travail ?	Oui, et ils me demandent quels sont les meilleurs emplois.
oui, et ils me demandent quels sont les meilleurs métiers.	Je dis à mes étudiants de devenir professeur.
Je dis à mes étudiants de devenir enseignant.	L'enseignement est un métier formidable.
Enseigner est un excellent travail.	C'est le meilleur travail que j'ai jamais eu.
C'est le meilleur travail que j'ai jamais eu.	Qu'est-ce qui le rend si bon ?
qu'est-ce qui le rend si bon ?	pour moi, ce sont les étudiants.
pour moi, c'est les étudiants.	Qu'est-ce que tu veux dire ?
Qu'est-ce que tu veux dire ?	Je veux dire que j'ai des étudiants merveilleux.
Je veux dire que j'ai des étudiants merveilleux.	Ça doit être bien.
ça doit être sympa.	L'enseignement est la meilleure partie de ma journée.
enseigner est la meilleure partie de ma journée.	Vous êtes un homme chanceux d'avoir un travail que vous aimez.
Bon sang, je suis content que ce travail soit terminé.	Combien de temps ça a pris ?
Combien de temps ça a duré ?	quatre heures, sans pause.
quatre heures, sans pause.	C'est toujours agréable de finir un travail.
C'est toujours agréable de finir un travail.	bien, c'est bon et mauvais.
Eh bien, c'est bon et mauvais.	Qu'est-ce qu'il y a de mauvais ?
qu'est-ce qu'il y a de mal à ça ?	quand tu finis, tu ne fais que commencer un autre travail !
quand tu finis, tout ce que tu fais c'est commencer un autre travail !	Oui, c'est vrai. Ça devient ennuyeux.
Oui, c'est vrai. Ça devient ennuyeux.	surtout si c'est le même travail, encore et encore.
surtout si c'est le même travail, encore et encore.	mais c'est ce que font la plupart des gens.
mais c'est ce que font la plupart des gens.	Oui, je suppose que la plupart d'entre nous sont coincés dans une routine.
oui, je suppose que la plupart d'entre nous sont coincés dans une routine.	Je me demande s'il y a un travail que l'on ne répète pas encore et encore.
Je pense que j'ai le pire patron du monde.	Qu'est-ce qui le rend si mauvais ?
Qu'est-ce qui le rend si mauvais ?	Il est grossier et il crie beaucoup.
Il est grossier et il crie beaucoup.	C'est difficile à supporter.
C'est dur à encaisser.	Je ne l'ai jamais entendu dire "s'il vous plaît" ou "merci".
Je ne l'ai jamais entendu dire "s'il vous plaît" ou "merci".	Il a l'air d'un vrai con.
Il a l'air d'un vrai con.	Personne au travail ne l'aime.
Personne au travail ne l'aime.	Vous ne pouvez pas le dénoncer à son superviseur ?
Vous ne pouvez pas le dénoncer à son supérieur ?	Bien sûr que non. Si je fais ça, je perdrai mon travail.
Bien sûr que non. Si je fais ça, je vais perdre mon travail.	Oui, ils n'aiment pas les fauteurs de trouble ou les râleurs.
Oui, ils n'aiment pas les fauteurs de trouble ou les râleurs.	Je ne peux pas démissionner, parce que je gagne un bon salaire.
Je ne peux pas démissionner, parce que je gagne un bon salaire.	Vous ne devriez pas choisir l'argent plutôt que le bonheur.
qu'allons-nous faire ?	à propos de quoi ?
A propos de quoi ?	Pour me trouver un travail.
à propos de trouver un travail pour moi.	Tu n'as pas besoin de travail. Je gagne assez d'argent pour nous deux.
Tu n'as pas besoin d'un travail. Je gagne assez d'argent pour nous deux.	Ça n'a pas d'importance. Je ne veux pas rester assis.
Ça n'a pas d'importance. Je ne veux pas rester assis.	Ok, quel genre de travail veux-tu ?
Ok, quel genre de travail veux-tu ?	Je ne suis pas sûr.
Je ne suis pas sûr.	Eh bien, tu devrais faire quelque chose qui te plaît.
Eh bien, tu devrais faire quelque chose que tu aimes.	J'aime vendre. Je suis né pour vendre.
J'aime vendre. Je suis né pour vendre.	Ok, qu'est-ce que tu veux vendre ?
Ok, qu'est-ce que tu veux vendre ?	Des briquets. Je vais faire fortune.
Des briquets. Je vais faire fortune.	mais vous détestez les cigarettes et vous détestez fumer !
un nouvel hôtel cherche des ouvriers.	Oui, je l'ai vu au journal télévisé.
Oui, je l'ai vu aux infos télévisées.	Ils ont besoin de 300 nouveaux employés.
ils ont besoin de 300 nouveaux travailleurs.	et 4 000 personnes se sont présentées.
et 4 000 personnes se sont présentées.	tant de gens sont au chômage.
Tant de gens sont au chômage.	J'ai toujours mon travail, Dieu merci.
J'ai toujours mon travail, Dieu merci.	Moi aussi, mais je suis inquiet.
Moi aussi, mais je suis inquiet.	Moi aussi. Il n'y a pas de garanties.
Moi aussi. Il n'y a pas de garanties.	Si tu perds ton travail, tu peux emménager avec moi.
Si vous perdez votre emploi, vous pourrez emménager avec moi.	Oh, merci. C'est très gentil de ta part.
oh, merci. c'est très gentil de votre part.	Je pense que vous feriez la même chose pour moi.
tu ferais la même chose pour moi.	Bien sûr. À quoi servent les amis ?
Je pense que j'ai fait quelque chose de vraiment stupide.	Qu'est-ce que tu as fait ?
Qu'est-ce que tu as fait ?	J'ai acheté des actions.
J'ai acheté des actions.	Tout le monde achète des actions.
Tout le monde achète des actions.	Je l'ai acheté sur une intuition.
Je l'ai acheté sur une intuition.	Vous n'avez pas lu les informations sur l'entreprise avant ?
Vous n'avez pas lu les informations sur l'entreprise en premier ?	Je n'ai pas eu à le faire. Elle existe depuis 60 ans.
Je n'ai pas eu à le faire. Il existe depuis 60 ans.	Alors quel est le problème ?
Alors quel est le problème ?	J'ai utilisé toutes mes économies pour cette seule entreprise.
J'ai utilisé toutes mes économies sur cette seule entreprise.	vous mettez tous vos oeufs dans le même panier.
Vous mettez tous vos oeufs dans le même panier.	Si l'entreprise fait faillite, je n'aurai plus rien.
Si la compagnie fait faillite, je n'aurai plus rien.	oh, vous aurez quelque chose, vous aurez une leçon que vous n'oublierez jamais !
J'allais devenir médecin.	Qu'est-il arrivé à vos projets ?
Qu'est-il arrivé à tes projets ?	J'ai eu un D en chimie à l'université.
J'ai eu un D en chimie à l'université.	Eh bien, un D est mieux qu'un F.
Eh bien, un D est mieux qu'un F. 	Un tuteur m'a aidé à obtenir le D !
un tuteur m'a aidé à avoir le D !	donc, tu n'es pas devenu médecin.
Donc, tu n'es pas devenu médecin.	Et maintenant, je suis content de ne pas l'avoir fait.
et maintenant je suis content de ne pas l'avoir fait.	Pourquoi ça ?
Pourquoi ça ?	un hôpital est l'endroit le plus dangereux du monde.
un hôpital est l'endroit le plus dangereux du monde.	oh, oui, à cause de tous les germes tueurs.
