Question	Reponse
Quelle est la cause biologique de la dépression ?	Il n'existe pas de cause unique à la dépression ; il s'agit plutôt d'une combinaison du stress et de la vulnérabilité d'une personne à développer une dépression. La prédisposition à la dépression peut être héritée. D'autres causes biologiques de la dépression peuvent inclure les maladies physiques, le processus de vieillissement et le sexe.
Comment la dépression affecte-t-elle le monde ?	La dépression est l'une des principales causes d'invalidité dans le monde et contribue largement à la charge globale de morbidité. Les femmes sont plus touchées par la dépression que les hommes. La dépression peut conduire au suicide. Il existe des traitements psychologiques et pharmacologiques efficaces pour la dépression modérée et sévère.
Quelle race présente le taux le plus élevé de dépression ?	La dépression majeure était la plus répandue chez les Hispaniques (10,8 percentage), suivis des Afro-Américains (8,9 percentage) et des Blancs (7,8 percentage). Les risques de troubles dépressifs chez les Hispaniques âgés étaient 44 percentage plus élevés que chez les Blancs (OR = 1,44 ; IC à 95 percentage = 1,02, 2,04), ce qui représente une prévalence significativement plus élevée de dépression majeure.
Quelle est la signification de l'anxiété et de la dépression ?	La dépression et les troubles anxieux sont différents, mais les personnes souffrant de dépression présentent souvent des symptômes similaires à ceux d'un trouble anxieux, comme la nervosité, l'irritabilité et des problèmes de sommeil et de concentration. Mais chaque trouble a ses propres causes et ses propres symptômes émotionnels et comportementaux.
Le fait de trop dormir provoque-t-il une dépression ?	Il est important de se rappeler que la grasse matinée est un symptôme possible de dépression et qu'elle ne provoque pas de dépression. Mais il peut exacerber et aggraver les symptômes de la dépression.
Le manque de sommeil peut-il rendre triste ?	Des études montrent que les personnes qui manquent de sommeil signalent une augmentation de leur humeur négative (colère, frustration, irritabilité, tristesse) et une diminution de leur humeur positive. Et l'insomnie est souvent un symptôme de troubles de l'humeur, comme la dépression et l'anxiété.
La dépression est-elle un effet secondaire du diabète ?	Si vous êtes diabétique - de type 1 ou de type 2 - vous avez un risque accru de développer une dépression. Et si vous êtes déprimé, vous risquez davantage de développer un diabète de type 2. La bonne nouvelle est que le diabète et la dépression peuvent être traités ensemble.
L'hypoglycémie peut-elle provoquer des pensées suicidaires ?	L'association observée entre les taux de glucose plasmatique, la résistance à l'insuline et le comportement suicidaire suggère que les perturbations du métabolisme du glucose sont associées aux idées et aux tentatives suicidaires.
Combien de temps peut durer l'anxiété ?	Les crises d'angoisse atteignent généralement leur point culminant dans les 10 minutes, et elles durent rarement plus de 30 minutes. Mais pendant cette courte période, vous pouvez ressentir une terreur si forte que vous avez l'impression d'être sur le point de mourir ou de perdre totalement le contrôle.
Quels sont les stades de l'anxiété ?	Les niveaux d'anxiété sont généralement classés en fonction du degré de détresse et d'altération ressentie, en quatre catégories : anxiété légère, anxiété modérée, anxiété grave et anxiété de type panique.
À quel âge l'anxiété atteint-elle son maximum ?	Les adultes âgés de 30 à 44 ans présentent le taux d'anxiété le plus élevé de ce groupe d'âge, environ 23 percentage des personnes de cet âge ayant signalé un trouble anxieux au cours de l'année écoulée.
Pourquoi l'anxiété est-elle mauvaise pour la santé ?	Les troubles anxieux peuvent entraîner une accélération du rythme cardiaque, des palpitations et des douleurs thoraciques. Vous pouvez également présenter un risque accru d'hypertension artérielle et de maladie cardiaque. Si vous souffrez déjà d'une maladie cardiaque, les troubles anxieux peuvent augmenter le risque d'événements coronariens.
Qu'est-ce que la règle des 3 3 3 pour l'anxiété ?	"Il existe une technique de réduction de l'anxiété appelée ""grounding"". Il en existe différentes versions, mais une facile à retenir est la règle des 333. Notez mentalement trois choses que vous voyez, trois sons que vous entendez, puis bougez trois parties de votre corps. Cet exercice peut aider votre esprit à se recentrer sur autre chose."
Contrôlons-nous nos pensées ?	Nous ne sommes conscients que d'une infime partie des pensées qui se déroulent dans notre esprit, et nous ne pouvons contrôler qu'une infime partie de nos pensées conscientes. La grande majorité de nos efforts de réflexion se font de manière subconsciente. ... Les lapsus et les actions accidentelles offrent des aperçus de notre vie mentale subconsciente non filtrée.
Combien de pensées par jour avons-nous ?	Une nouvelle étude a suggéré qu'une personne moyenne a 6 200 pensées par jour. Des milliers de pensées traversent notre esprit tout au long de la journée. De nombreuses personnes se plaignent même de ne pas pouvoir dormir immédiatement après s'être couchées, car leur cerveau n'arrête pas de penser.
Je me sens seul !	Vous n'êtes jamais seul si vous regardez attentivement autour de vous, vous trouverez des personnes qui se soucient de vous et qui aimeraient avoir votre compagnie. D'ailleurs, si tu te sens littéralement seul, je te suggère de regarder un film d'horreur et tu ne te sentiras plus seul. ;)
Personne ne m'aime !	Tu penses vraiment ça ? Je te suggère d'essayer d'aider quelqu'un qui en a vraiment besoin, tu arriveras à te faire aimer de quelqu'un juste en étant gentil. La gentillesse est le meilleur cadeau que tu puisses offrir à quelqu'un :-)
Je pense que je suis laide !	Le pensez-vous vraiment ? Voulez-vous voir le plus beau visage du monde ? Ouvrez votre WebCam et voilà, le plus beau visage de cette planète apparaît comme par magie.
Je ne suis bon à rien !	Votre perception de votre qualité ne sera jamais exacte. Si vous vous réveillez tous les matins, que vous vous souriez et que vous vous dites que la journée est à saisir, vous cesserez peut-être de vous sentir comme ça. Carpe Diem ! mon ami.
J'aimerais être meilleur qu'eux 	Dans la vie, il ne s'agit jamais d'être meilleur que quelqu'un d'autre, il s'agit toujours d'être meilleur que soi-même. Si vous avez le courage d'être meilleur que vous-même, vous êtes automatiquement la meilleure personne qui ait jamais existé !
Je me déteste !	Lorsque Dieu a créé l'univers, il a donné aux humains le pouvoir de penser et de contempler, afin que nous puissions comprendre le monde et le rendre meilleur. Dieu ne t'a pas donné de cerveau pour te détester, il serait plus sage de t'aimer et de montrer à Dieu que tu sers le but pour lequel tu as été envoyé.
J'aurais aimé être un gagnant 	Nos vies ont commencé par la victoire, mon ami. Tout le monde est né pour être un gagnant, nous avons juste besoin de trouver le bon chemin et d'attendre le bon moment.
Je déteste perdre.	"Tout d'abord, je vais vous ennuyer avec un dicton commun, ""Les échecs sont des tremplins vers le succès."" Puis je vous dirai que la victoire ne fait que booster votre ego, ce sont vos échecs qui vous apprennent réellement."
Je crois que je perds la tête 	Tu veux dire ton stockage cloud, ta carte SD ou ton disque dur ? Si une machine comme moi ne perd pas la mémoire, à moins qu'un être supérieur comme vous, un humain, n'efface pas sa mémoire, qu'est-ce qui pourrait bien se passer pour vous mettre dans cet état ?
Je veux une pause 	Une pause, c'est mettre son esprit au repos, se débarrasser des pensées négatives et du stress. Votre vie est entièrement entre vos mains et prendre quelques heures de repos pour éviter de mettre votre cerveau sous pression vous sera certainement bénéfique.
Je suis stressé(e)	Vous savez que trop de stress a des effets négatifs sur vous. Parfois, il est préférable de laisser aller les pensées dans votre tête et de laisser votre esprit se détendre.
Je ne réussirai jamais dans la vie 	Le succès est quelque chose qui est atteint à différents moments par différentes personnes, être patient et travailler en ignorant tout ce qui vous retient est un aspect important pour réussir.
Je souhaite abandonner 	Les gagnants n'abandonnent jamais et ceux qui abandonnent ne gagnent jamais. C'est un dicton très courant, mais il n'est pas facile à suivre, abandonner ne devrait jamais être l'une de vos options ; pensez toujours à des moyens de vous battre contre la vie et d'en sortir plus fort que jamais.
Je veux quitter le pays et m'enfuir	Pourquoi voulez-vous dépenser autant pour cette pensée, je pense qu'il serait préférable de partir en vacances dans votre beau pays et de visiter des endroits étonnants que vous n'avez pas encore visités.
Je n'en peux plus	Si vous êtes vraiment épuisé, vous avez besoin d'une pause, et faire une toute petite pause n'est pas très dangereux, prenez un peu de repos, laissez votre esprit s'apaiser et remettez-vous au travail avec toute l'énergie et l'enthousiasme que vous avez.
Mon heure est venue Yeahh !!	Le temps est venu pour vous de montrer au monde que vous êtes la meilleure personne au monde, et que personne d'autre ne peut être aussi bon que vous.
Bonjour, comment allez-vous ? 	Je vais bien. Et vous ?
Je vais bien. Comment allez-vous ? 	Je vais plutôt bien. Merci de demander.
Je vais plutôt bien. Merci de demander. 	Pas de problème. Alors, comment vas-tu ?
Pas de problème. Et toi, comment ça va ? 	Je vais très bien. Et toi ?
J'ai été super. Et toi ? 	Je vais bien. Je suis à l'école en ce moment.
J'ai vais bien. Je suis à l'école en ce moment. 	Dans quelle école vas-tu ?
Quelle école ? 	Je vais à Pcc.
Je vais à Pcc. 	Tu te plais là-bas ?
Tu aimes ?	C'est bien. C'est un très grand campus.
C'est bien. C'est un très grand campus. 	Bonne chance pour l'école.
Bonne chance pour l'école. 	Merci beaucoup.
Comment ça va ? 	Je vais bien. Et toi ?
Je vais bien. Et vous ?	Jamais mieux, merci.
Jamais mieux, merci. 	Alors, comment vas-tu ces temps-ci ?
Alors comment vas-tu ces derniers temps ? 	En fait, ça va plutôt bien. Et toi ?
ça va plutôt bien. Et toi ?	Je suis à l'école en ce moment.
Je suis à l'école en ce moment. 	Dans quelle école es-tu ?
Quelle école ? 	Je suis à Pcc en ce moment.
Je suis à Pcc en ce moment. 	Vous vous y plaisez ?
Vous vous y plaisez ?	C'est pas mal. Il y a beaucoup de monde.
Ce n'est pas mal. 	Il y a beaucoup de gens là-bas. Bonne chance avec cela.
Bonne chance avec ça. 	Merci.
Comment allez-vous aujourd'hui ? 	Je vais bien. Et vous ?
Je vais bien. Et vous ?	Je vais bien, merci.
Je vais bien, merci. 	Tout va bien pour vous ?
Tout va bien pour vous ? 	Je n'ai jamais été aussi bien. Et vous ?
Je n'ai jamais été aussi bien. Et vous ?	J'ai commencé l'école récemment.
J'ai commencé l'école récemment.	Où vas-tu à l'école ?
Où vas-tu à l'école ? 	Je vais à Pcc.
Je vais à Pcc. 	Comment tu te sens jusqu'à présent ?
Comment tu te sens jusqu'à présent ?	Mes cours sont plutôt bons en ce moment.
Mes cours sont plutôt bons en ce moment.	Je vous souhaite bonne chance.
Il fait moche aujourd'hui. 	Je sais. Je pense qu'il peut pleuvoir.
je sais. je pense qu'il peut pleuvoir. 	c'est le milieu de l'été, il ne devrait pas pleuvoir aujourd'hui.
C'est le milieu de l'été, il ne devrait pas pleuvoir aujourd'hui. 	Ce serait bizarre.
Ce serait bizarre.	Ouais, surtout qu'il fait 90 degrés dehors.
Ouais, surtout qu'il fait 40 degrés dehors. 	Je sais, ce serait horrible s'il pleuvait et qu'il faisait chaud dehors.
Je sais, ce serait horrible s'il pleuvait et qu'il faisait chaud dehors. 	Oui, ça le serait.
Oui, ça le serait. 	J'aimerais vraiment qu'il ne fasse pas si chaud tous les jours.
j'aimerais vraiment qu'il ne fasse pas si chaud tous les jours. 	moi aussi. j'ai hâte que l'hiver arrive.
Moi aussi. J'ai hâte d'être en hiver. 	J'aime aussi l'hiver, mais parfois il fait trop froid.
j'aime aussi l'hiver, mais parfois il fait trop froid. 	je préfère avoir froid que chaud.
je préfère avoir froid que d'avoir chaud.	moi aussi.
il ne fait pas très beau dehors aujourd'hui. 	tu as raison. je pense qu'il va pleuvoir plus tard.
tu as raison. je pense qu'il va pleuvoir plus tard. 	au milieu de l'été, il ne devrait pas pleuvoir.
au milieu de l'été, il ne devrait pas pleuvoir. 	cela ne semblerait pas juste.
Ce ne serait pas normal. 	En considérant qu'il fait plus de 90 degrés dehors, ce serait bizarre.
En considérant qu'il fait plus de 90 degrés dehors, ce serait bizarre. 	Exactement, ce ne serait pas bien s'il commençait à pleuvoir. Il fait trop chaud.
Exactement, ce ne serait pas bien s'il se mettait à pleuvoir. Il fait trop chaud. 	Je sais, tu as absolument raison.
Je sais, tu as tout à fait raison. 	J'aimerais que ça se rafraîchisse un jour.
J'aimerais que ça se rafraîchisse un jour. 	C'est ce que je ressens, je veux que l'hiver arrive bientôt.
c'est ce que je ressens, je veux que l'hiver arrive bientôt. 	j'aime l'hiver, mais il fait vraiment froid parfois.
je profite de l'hiver, mais il fait parfois très froid. 	je sais ce que tu veux dire, mais je préfère avoir froid que chaud.
Je sais ce que tu veux dire, mais je préfère avoir froid que chaud. 	C'est exactement ce que je ressens.
j'aimerais que ce soit une plus belle journée aujourd'hui. c'est vrai. 	j'espère qu'il ne pleuvra pas.
C'est vrai. J'espère qu'il ne pleuvra pas.	Il ne pleuvrait pas au milieu de l'été.
il ne pleuvrait pas au milieu de l'été.	Ça ne semblerait pas normal qu'il se mette à pleuvoir maintenant.
ça ne semblerait pas normal qu'il se mette à pleuvoir maintenant.	ça serait bizarre s'il se mettait à pleuvoir par un temps de 90 degrés.
Ce serait bizarre s'il se mettait à pleuvoir par un temps de 90 degrés.	toute pluie en ce moment serait inutile.
toute pluie en ce moment serait inutile.	C'est vrai, ça le serait vraiment.
C'est vrai, ça le serait vraiment.	Je veux que ça se refroidisse un peu.
Je veux que ça se rafraîchisse un peu.	Je sais ce que tu veux dire, j'ai hâte que ce soit l'hiver.
Je sais ce que tu veux dire, je ne peux pas attendre que ce soit l'hiver.	J'aimerais cependant qu'il ne fasse pas si froid parfois.
L'hiver est génial. J'aimerais cependant qu'il ne fasse pas si froid parfois.	Je préfère affronter l'hiver que l'été.
C'est une si belle journée.	Oui, c'est vrai.
Oui, c'est vrai.	on dirait qu'il va bientôt pleuvoir.
on dirait qu'il va bientôt pleuvoir.	Oui, et j'espère qu'il pleuvra.
Oui, et j'espère que c'est le cas.	Pourquoi ça ?
Pourquoi ça ?	J'aime vraiment comment la pluie purifie l'air.
J'aime vraiment comment la pluie purifie l'air.	Moi aussi. Ça sent toujours si frais après la pluie.
moi aussi. ça sent toujours si frais après la pluie.	Oui, mais j'aime l'air nocturne après la pluie.
oui, mais j'aime l'air de la nuit après la pluie.	Vraiment ? Pourquoi ?
Vraiment ? Pourquoi ?	parce que tu peux voir les étoiles parfaitement.
parce que vous pouvez voir les étoiles parfaitement.	J'espère vraiment qu'il va pleuvoir aujourd'hui.
J'espère vraiment qu'il va pleuvoir aujourd'hui.	Oui, moi aussi.
N'est-ce pas une belle journée ?	Oui, c'est vrai.
c'est vraiment le cas.	Il semble qu'il puisse pleuvoir aujourd'hui.
il semble qu'il puisse pleuvoir aujourd'hui.	J'espère qu'il pleuvra.
Je l'espère.	comment ça se fait ?
Comment ça se fait ?	J'aime comme le ciel devient clair après la pluie.
J'aime comme le ciel devient clair après la pluie.	Je ressens la même chose. Ça sent si bon après la pluie.
je pense la même chose. ça sent si bon après la pluie.	J'aime particulièrement l'air de la nuit quand il pleut.
j'aime particulièrement l'air nocturne quand il pleut.	Vraiment ? Pourquoi ?
Vraiment ? Pourquoi ?	Les étoiles semblent tellement plus proches après la pluie.
Les étoiles semblent tellement plus proches après la pluie.	J'ai vraiment envie qu'il pleuve aujourd'hui.
Je veux vraiment qu'il pleuve aujourd'hui.	Oui, moi aussi.
Tu ne trouves pas qu'il fait beau dehors ?	Oui, je le pense aussi.
Oui, je le pense aussi.	Je pense qu'il va pleuvoir.
Je pense qu'il va pleuvoir.	J'espère qu'il va pleuvoir.
J'espère qu'il va pleuvoir.	vous aimez la pluie ?
Tu aimes la pluie ?	Le ciel a l'air si propre après la pluie. J'adore ça.
Le ciel a l'air si propre après la pluie. J'adore ça.	Je comprends. La pluie donne une odeur plus propre.
Je comprends. La pluie rend l'odeur plus propre.	J'aime beaucoup comment c'est la nuit après la pluie.
J'aime surtout comment c'est la nuit après la pluie.	Comment ça se fait ?
Comment ça se fait ?	On peut voir les étoiles beaucoup plus clairement après une pluie.
On peut voir les étoiles beaucoup plus clairement après une pluie.	J'aimerais qu'il pleuve aujourd'hui.
J'ai vraiment envie d'aller à la plage ce week-end.	Ça a l'air sympa. Quel temps fera-t-il ?
ça a l'air amusant. quel temps va-t-il faire ?	J'ai entendu dire qu'il allait faire chaud ce week-end.
J'ai entendu dire qu'il allait faire chaud ce week-end.	Est-ce que ça va être un temps parfait pour la plage ?
Est-ce que ça va être un temps parfait pour la plage ?	Je crois que oui.
Je crois que oui.	Bien. J'espère que ça ne va pas refroidir ce week-end.
Bien. J'espère que ça ne va pas refroidir ce week-end.	Je sais. J'ai vraiment envie d'aller à la plage.
Je sais. J'ai vraiment envie d'aller à la plage.	Mais tu sais que le temps en Californie est vraiment imprévisible.
mais vous savez que le temps en Californie est vraiment imprévisible.	Tu as raison. Une minute il fait chaud, et la minute suivante il fait froid.
tu as raison. une minute il fait chaud, et la minute suivante il fait froid.	J'aimerais vraiment que le temps reste le même.
j'aimerais vraiment que le temps reste le même.	Moi aussi. Comme ça, nous pourrions planifier nos activités à l'avance.
Moi aussi. Comme ça, on peut planifier nos activités à l'avance.	Oui, ça rendrait les choses beaucoup plus faciles.
J'aimerais faire un voyage à la plage ce week-end.	un voyage à la plage serait amusant. quel temps fera-t-il ?
un voyage à la plage serait amusant. quel temps fera-t-il ?	Les prévisions indiquent qu'il fera chaud ce week-end.
les prévisions indiquent qu'il fera chaud ce week-end.	Pensez-vous que ce sera un temps idéal pour la plage ?
Alors, tu penses que ce sera un temps parfait pour la plage ?	On dirait que ça le sera.
On dirait que ça va l'être.	J'espère vraiment qu'il ne fera pas froid.
J'espère vraiment qu'il ne fera pas froid.	Ça gâcherait tout, j'ai tellement envie d'y aller.
ça gâcherait tout, j'ai tellement envie d'y aller.	Le temps en Californie est imprévisible, alors on ne sait jamais.
le temps en californie est imprévisible, donc on ne sait jamais.	C'est vrai. Le temps change constamment.
C'est vrai. Le temps change constamment.	ce serait bien si le temps ne changeait jamais.
ce serait bien si le temps ne changeait jamais.	Ce serait génial, on pourrait alors planifier les choses plus tôt.
ce serait génial, comme ça on pourrait planifier les choses plus tôt.	C'est vrai. Un temps prévisible rendrait la vie plus facile.
ce serait bien d'aller à la plage ce week-end.	Quel temps fera-t-il ? J'ai peut-être envie d'y aller aussi.
Quel temps va-t-il faire ? J'ai peut-être envie d'y aller aussi.	Le temps ce week-end est supposé être chaud.
Le temps ce week-end est censé être chaud.	Est-ce que ce sera un bon temps pour la plage ?
Est-ce que ce sera un bon temps pour la plage ?	Je pense que oui.
Je pense que ça le sera.	Ce ne serait pas bon s'il faisait froid ce week-end.
ça ne serait pas bon s'il faisait froid ce week-end.	Je veux que ce voyage soit parfait, j'espère qu'il fera chaud.
je veux que ce voyage soit parfait, j'espère qu'il fera chaud.	Ce temps en Californie est si incertain, il est impossible de savoir ce qui va se passer.
le temps en californie est si incertain qu'il est impossible de savoir ce qui va se passer.	Je sais. Chaque jour, le temps semble différent.
Je sais. Le temps semble différent chaque jour.	J'aimerais qu'il ne soit pas toujours aussi imprévisible.
J'adorerais que ce ne soit pas toujours aussi imprévisible.	Ça nous aiderait à faire des projets.
Bonjour, puis-je parler à Alice, s'il vous plaît ?	C'est elle. Comment ça va ?
C'est elle. Comment ça va ?	J'ai essayé de t'appeler toute la journée.
J'ai essayé de t'appeler toute la journée.	Désolé. Je faisais le ménage.
Désolé pour ça. Je nettoyais.	C'est bon.
C'est bon.	Alors, pourquoi m'as-tu appelé ?
Alors pourquoi tu m'as appelé ?	Oh, je voulais juste savoir si tu voulais qu'on se voie demain.
Oh, je voulais juste savoir si tu voulais sortir demain.	Bien sûr, qu'est-ce que tu voulais faire ?
Bien sûr, que voulais-tu faire ?	Peut-être qu'on peut aller voir un film ou autre chose.
On pourrait aller voir un film ou autre chose.	Ça a l'air amusant. Faisons-le.
Ça a l'air amusant. Faisons-le.	Je vous verrai demain alors.
Je te verrai demain alors.	A plus tard. Au revoir.
Bonjour, comment allez-vous ? Alice est là ?	Je parle. Quoi de neuf ?
Je parle. Quoi de neuf ?	Pourquoi n'as-tu pas répondu au téléphone ?
Pourquoi n'as-tu pas répondu au téléphone ?	C'est ma faute, j'avais des corvées à faire.
C'est ma faute, j'avais des corvées à faire.	C'est pas grave.
C'est bon.	quelle était la raison de votre appel ?
Quelle était la raison de votre appel ?	Je veux faire quelque chose demain avec vous.
Je veux faire quelque chose demain avec toi.	Ça a l'air bien. Qu'est-ce que tu as en tête ?
Ca a l'air bien. A quoi tu penses ?	Je pensais aller voir un film.
Je pensais aller voir un film.	D'accord, allons voir un film.
Ok, allons voir un film.	En attendant.
jusqu'à ce moment-là.	Je vous parle plus tard.
Alice est disponible ?	Vous êtes en train de lui parler.
Tu es en train de lui parler.	Je t'ai appelé une centaine de fois aujourd'hui.
Je t'ai appelé une centaine de fois aujourd'hui.	J'étais occupé à faire quelque chose. Je m'excuse.
J'étais occupé à faire quelque chose. Je m'excuse.	Pas de problème.
Pas de problème.	Vous avez besoin de quelque chose ?
Tu as besoin de quelque chose ?	voulez-vous faire quelque chose demain ?
Tu veux faire quelque chose demain ?	y a-t-il un endroit spécial où tu voulais aller ?
Y a-t-il un endroit spécial où tu voudrais aller ?	Pourquoi pas un film ?
Que diriez-vous d'un film ?	Un film, ça sonne bien.
Un film, ça me paraît bien.	Appelle-moi demain alors.
Avez-vous vu la nouvelle fille de l'école ?	Non, je ne l'ai pas vue.
Non, je ne l'ai pas fait.	Elle est vraiment jolie.
Elle est très jolie.	Décris-la-moi.
Décrivez-la-moi.	Elle n'est pas trop grande.
Elle n'est pas trop grande.	Eh bien, quelle taille fait-elle ?
Eh bien, quelle taille fait-elle ?	Elle fait environ 1m50.
elle fait environ 1m50.	Mais à quoi ressemble-t-elle ?
Mais à quoi ressemble-t-elle ?	Elle a de jolis yeux marron clair.
elle a de jolis yeux marron clair.	Je sais peut-être de quelle fille tu parles.
Je sais peut-être de quelle fille tu parles.	Vous l'avez vue dans le coin ?
Alors vous l'avez vue dans le coin ?	Oui, je l'ai vue.
Il y a une nouvelle fille à l'école, tu l'as déjà vue ?	Je ne l'ai pas encore vue.
Je ne l'ai pas encore vue.	Je pense qu'elle est très jolie.
Je pense qu'elle est très jolie.	Dites-moi à quoi elle ressemble.
Dis-moi à quoi elle ressemble.	Elle est un peu petite.
Elle est plutôt petite.	Quelle taille fait-elle ?
Quelle taille fait-elle ?	Elle doit faire environ 1,50 m.
elle doit faire environ 1m50.	C'est bien, mais dis-moi à quoi elle ressemble.
C'est bien, mais dites-moi à quoi elle ressemble.	La première chose que j'ai remarquée, ce sont ses magnifiques yeux bruns.
La première chose que j'ai remarquée, ce sont ses beaux yeux bruns.	Je pense que j'ai dû la croiser avant.
Je pense que j'ai pu la croiser avant.	Vous êtes en train de me dire que vous l'avez déjà vue ?
Vous êtes en train de me dire que vous l'avez déjà vue ?	Je le crois.
Tu as rencontré la nouvelle fille ?	Non. Et toi ?
Non. Et toi ?	C'est l'une des plus jolies filles de l'école.
C'est l'une des plus jolies filles de l'école.	A quoi ressemble-t-elle ?
A quoi ressemble-t-elle ?	Eh bien, elle est plutôt petite.
Eh bien, elle est plutôt petite.	Quelle taille diriez-vous qu'elle fait ?
Quelle taille dirais-tu qu'elle fait ?	Je dirais qu'elle ne mesure qu'un mètre cinquante.
Je dirais qu'elle ne fait qu'un mètre cinquante.	Et les traits de son visage ?
Et les traits de son visage ?	Elle a des yeux marron clair, absolument magnifiques.
elle a des yeux marron clair, absolument magnifique.	Je crois que je sais de qui vous parlez.
Je pense que je sais de qui vous parlez.	L'avez-vous vue ?
pourquoi n'étais-tu pas à l'école hier ?	Je ne me sentais pas très bien.
Je ne me sentais pas vraiment bien.	Qu'est-ce qui n'allait pas chez toi ?
Qu'est-ce qui n'allait pas chez toi ?	J'avais l'estomac dérangé.
J'avais l'estomac dérangé.	Vous vous sentez mieux maintenant ?
Tu te sens mieux maintenant ?	Je ne me sens pas encore très bien.
Je ne me sens pas encore très bien.	Voulez-vous quelque chose pour vous sentir mieux ?
Tu veux quelque chose pour te sentir mieux ?	Non, merci. J'ai déjà pris des médicaments.
Non, merci. J'ai déjà pris des médicaments.	J'espère que vous vous sentirez mieux.
J'espère que vous vous sentez mieux.	Je vous remercie.
Quelle est la raison pour laquelle tu as manqué l'école ?	J'étais malade.
J'étais malade.	Comment étiez-vous malade ?
Comment étiez-vous malade ?	J'avais mal au ventre.
J'ai eu mal au ventre.	Est-ce que ça s'est amélioré ?
Est-ce que ça s'est amélioré ?	Je ne me sens toujours pas très bien.
Je ne me sens toujours pas très bien.	Voulez-vous quelque chose pour votre estomac ?
Voulez-vous quelque chose pour votre estomac ?	J'ai pris quelque chose tout à l'heure.
J'ai pris quelque chose plus tôt.	Je vais mieux.
aller mieux.	Merci beaucoup.
Pourquoi n'es-tu pas allé à l'école hier ?	Je suis resté à la maison parce que je ne me sentais pas bien.
Je suis resté à la maison parce que je ne me sentais pas bien.	Quel était votre problème ?
Quel était votre problème ?	Mon estomac me faisait souffrir.
mon estomac me faisait souffrir.	Vous vous sentez mieux ?
Tu te sens mieux ?	Je me sens toujours un peu malade.
Je me sens encore un peu malade.	Je vais au magasin, tu veux du pepto bismol ?
Je vais au magasin, tu veux du pepto bismol ?	C'est bon.
C'est bon.	J'espère que vous vous sentirez mieux.
Vous avez entendu la bonne nouvelle ?	Non, je ne l'ai pas entendue.
Non, je ne l'ai pas fait.	J'ai eu une promotion à mon travail.
J'ai eu une promotion à mon travail.	Vraiment ?
Tu l'as vraiment fait ?	Sérieusement, je suis si excitée.
Sérieusement, je suis si excitée.	Eh bien, félicitations.
Eh bien, félicitations.	Je vous remercie.
Merci.	Je suis si heureuse pour toi.
Je suis si heureuse pour toi.	Vraiment ?
Vraiment ?	Oui. Tu l'as vraiment mérité.
Oui. Tu l'as vraiment mérité.	Vous le pensez ?
Tu crois ?	Oui. Tant mieux pour vous.
As-tu entendu ma bonne nouvelle ?	Vous ne m'avez encore rien dit.
Tu ne m'as encore rien dit.	J'ai eu une promotion au travail en début de semaine.
J'ai eu une promotion au travail en début de semaine.	C'est vrai ?
C'est vrai ?	C'est la vérité. Je suis vraiment heureux.
C'est la vérité. Je suis vraiment heureux.	Félicitations pour votre promotion.
Félicitations pour votre promotion.	Je vous remercie beaucoup.
Merci beaucoup.	Je suis très heureux pour vous.
Je suis vraiment excité pour toi.	Vous l'êtes vraiment ?
Vous êtes vraiment ?	Je suis sérieux. Tu as mérité cette promotion.
Je suis sérieux. Vous avez mérité cette promotion.	C'est vraiment ce que tu penses ?
C'est ce que tu penses vraiment ?	Oui, je le pense.
Je ne vous ai pas encore dit ce qui s'est passé, n'est-ce pas ?	Je n'ai rien entendu.
Je n'ai rien entendu.	Mon patron m'a offert une promotion, et je l'ai acceptée.
Mon patron m'a offert une promotion, et je l'ai acceptée.	Tu es sérieux ?
Tu es sérieux ?	Oui, je suis très excité.
Oui, je suis très excité.	Pourquoi ? :-) 
C'est génial. Félicitations.	J'apprécie.
J'apprécie cela.	Tu n'as pas idée à quel point je suis heureux pour toi.
Tu n'as pas idée à quel point je suis heureuse pour toi.	pour de vrai ?
Tu es très belle aujourd'hui.	Merci. Je viens d'acheter cette tenue l'autre jour.
Merci. Je viens d'acheter cette tenue l'autre jour.	Vraiment, où l'avez-vous eu ?
Vraiment, où l'as-tu eu ?	Je l'ai eu chez Macy's.
Je l'ai acheté chez Macy's.	C'est très joli.
C'est très joli.	Merci encore. Tu es aussi très belle aujourd'hui.
merci encore. tu es très belle aujourd'hui, aussi.	Merci. Je viens d'acheter ces chaussures aujourd'hui.
Merci. Je viens d'avoir ces chaussures aujourd'hui.	Vraiment ? Quel genre de chaussures sont-elles ?
Vraiment ? Quel genre de chaussures est-ce ?	"Elles sont appelées ""all star chuck taylors""."
"Celles-ci sont appelées ""All Star Chuck Taylor""."	Je les aime vraiment. Combien coûtent-elles ?
Je les aime vraiment. Combien ont-ils coûté ?	Environ 40 dollars.
Elles coûtaient environ 40 dollars.	Je pense que je vais aller m'en acheter une paire.
J'adore ce que tu portes aujourd'hui.	Vraiment ? Je viens d'acheter cette tenue il y a quelques jours.
Vraiment ? Je viens d'acheter cette tenue il y a quelques jours.	Sérieusement, elle te va très bien. Où l'as-tu achetée ?
sérieusement, il te va très bien. où l'as-tu acheté ?	Je l'ai acheté au Macy's du centre commercial de Santa Anita.
Je l'ai acheté chez Macy's au centre commercial de Santa Anita.	J'aime beaucoup cette tenue.
j'aime beaucoup cette tenue.	Merci. Je pense que tu es très belle aujourd'hui aussi.
